donor,predicted_state,gene,mean_log_expression,z
113,EC,CCDC160,0.00924259204838415,3.5134559440008
113,EC,ANKRD1,0,-0.304245898766611
113,EC,SPINK1,0.00199715364568065,0.972172843475944
113,EC,CLDN4,0.0113555758066147,0.371516875618202
113,EC,TMEM156,0.00800946970335527,2.29249488033274
113,EC,FAM170B,0.000194814181717564,0.192275249049109
113,EC,MTBP,0.0116861725330613,1.67355500812972
113,EC,ROBO4,0.000325946031423224,-0.261962359926494
113,EC,TEK,0,-0.29155837573271
113,EC,EBF2,0.000240271812373377,-0.231940566667673
113,EC,NR2F2-AS1,0,-0.237416964681221
113,EC,CRYBB1,0,-0.312980642444085
113,EC,CRIP3,0,-0.323865888544622
113,EC,ADAD2,0,-0.320872173109454
113,EC,ARHGEF15,0,-0.312761710838984
113,EC,ROPN1,0,-0.505733199781978
113,EC,PLA2G10,0,-0.393328994646316
113,EC,HIST1H2AH,0,-0.888327691857778
113,EC,HIST1H2BE,0,-0.248716416393874
113,EC,RAPGEF4-AS1,0,-0.218217890235992
113,EC,DRAXIN,0.000260911792539317,-0.615655362268335
113,EC,DHH,0,-0.276740729461188
113,EC,CCL18,0,-0.241301824127722
113,EC,LCK,0,-0.374092873287016
113,EC,HBA2,0.000701946993643586,-0.286535123514347
113,EC,HBA1,0,-0.583010545289258
113,EC,DMP1,0,-0.344328454429059
113,EC,BNC1,0,-0.322509438851439
113,EC,SLA2,0,-0.587182523459391
113,EC,LCE1E,0,0
113,EC,GDNF,0,-0.540338870852718
113,EC,MMP1,0.000753461125247855,-0.345208749999947
113,EC,S100A2,0.0136700822135101,-0.626336757016884
113,EC,LRRC38,0,-0.378241867862281
113,EC,WNT16,0.000173250227807069,-0.547534701289674
113,EC,KRTAP2-3,0,-0.218217890235992
113,EC,TAC1,0.0338631812858456,-0.583738049597333
113,EC,GCSAM,0,-0.218217890235992
113,EC,DCLK1,0,-0.380257837180033
113,EC,TCN1,0,0
113,EC,RETN,0,0
113,EC,PGLYRP1,0,0
113,EC,PADI4,0,0
113,EC,MS4A3,0,0
113,EC,MNDA,0,-0.23862544344358
113,EC,RNASE6,0,-0.235947057269194
113,EC,SPI1,0.00277219165856559,-0.313865006777156
113,EC,CLDN10,0,-0.332169031798302
113,EC,LY6D,0.00237161936043073,-0.526815145810829
113,EC,TNFAIP6,0.0180479098703637,-0.559083722987077
113,EC,FAM159B,0.00135537157403419,-0.439913782566163
113,EC,PRG4,0.145151869074028,-0.960591175992241
113,EC,F5,0.00971176834982348,-0.760011039646406
113,EC,SOX11,0.00166978317077803,-0.442012437201792
113,EC,AMTN,0.0544729045666932,-0.190176119672129
113,EC,DEFB1,0.00820674702294223,-0.474282311983682
113,FC,CCDC160,0,-0.543696547439079
113,FC,ANKRD1,0,-0.304245898766611
113,FC,SPINK1,0,-0.52514464239922
113,FC,CLDN4,0,-0.596448002820875
113,FC,TMEM156,0.00341870079557046,0.560770491137169
113,FC,FAM170B,0,-0.352126787991565
113,FC,MTBP,0.00189557962697306,-0.711309960572239
113,FC,ROBO4,0.00240484598751094,0.0386641035251472
113,FC,TEK,0,-0.29155837573271
113,FC,EBF2,0,-0.248236114555004
113,FC,NR2F2-AS1,0,-0.237416964681221
113,FC,CRYBB1,0,-0.312980642444085
113,FC,CRIP3,0.00281666260377721,1.21025450138909
113,FC,ADAD2,0.00433419476725782,0.811583759690627
113,FC,ARHGEF15,0.00151640097249453,0.00186008977290826
113,FC,ROPN1,0.00139569628313388,0.79339273627749
113,FC,PLA2G10,0,-0.393328994646316
113,FC,HIST1H2AH,0,-0.888327691857778
113,FC,HIST1H2BE,0,-0.248716416393874
113,FC,RAPGEF4-AS1,0,-0.218217890235992
113,FC,DRAXIN,0.000590837903377481,-0.420227208203503
113,FC,DHH,0,-0.276740729461188
113,FC,CCL18,0,-0.241301824127722
113,FC,LCK,0,-0.374092873287016
113,FC,HBA2,0.000975626578452485,-0.125846760945443
113,FC,HBA1,0,-0.583010545289258
113,FC,DMP1,0,-0.344328454429059
113,FC,BNC1,0,-0.322509438851439
113,FC,SLA2,0,-0.587182523459391
113,FC,LCE1E,0,0
113,FC,GDNF,0.00117591579953242,-0.183363707379961
113,FC,MMP1,0,-0.500646372205826
113,FC,S100A2,0.0147249446709473,-0.609954899440223
113,FC,LRRC38,0,-0.378241867862281
113,FC,WNT16,0.00233000515982667,-0.488141273780553
113,FC,KRTAP2-3,0,-0.218217890235992
113,FC,TAC1,0.0452774038838658,-0.44823998894994
113,FC,GCSAM,0,-0.218217890235992
113,FC,DCLK1,0.000833586928864694,-0.321007020068376
113,FC,TCN1,0,0
113,FC,RETN,0,0
113,FC,PGLYRP1,0,0
113,FC,PADI4,0,0
113,FC,MS4A3,0,0
113,FC,MNDA,0,-0.23862544344358
113,FC,RNASE6,0,-0.235947057269194
113,FC,SPI1,0.00129437655622523,-0.37174207481928
113,FC,CLDN10,0,-0.332169031798302
113,FC,LY6D,0,-0.784484534444656
113,FC,TNFAIP6,0.0874723186902784,-0.372839929873285
113,FC,FAM159B,0.00229336032703481,-0.361076879089931
113,FC,PRG4,0.253813061131288,-0.728840959153465
113,FC,F5,0.0796628013979942,-0.0656824258134857
113,FC,SOX11,0.0046745843741462,-0.376882592773695
113,FC,AMTN,0.0277794334899015,-0.460777160557125
113,FC,DEFB1,0.013570531624641,-0.398204452323338
113,HTC,CCDC160,0.000751492910658974,-0.213819244749678
113,HTC,ANKRD1,0,-0.304245898766611
113,HTC,SPINK1,0,-0.52514464239922
113,HTC,CLDN4,0.000520762729886987,-0.552057472466876
113,HTC,TMEM156,0.00011100296336842,-0.686955352435639
113,HTC,FAM170B,0,-0.352126787991565
113,HTC,MTBP,0.00370292594477035,-0.2710631889036
113,HTC,ROBO4,0,-0.309096904528277
113,HTC,TEK,0,-0.29155837573271
113,HTC,EBF2,0,-0.248236114555004
113,HTC,NR2F2-AS1,0,-0.237416964681221
113,HTC,CRYBB1,0,-0.312980642444085
113,HTC,CRIP3,0,-0.323865888544622
113,HTC,ADAD2,0,-0.320872173109454
113,HTC,ARHGEF15,0,-0.312761710838984
113,HTC,ROPN1,0.00435205414427311,3.54519570379377
113,HTC,PLA2G10,0.00194730686749796,2.80113595721377
113,HTC,HIST1H2AH,0.00490379813118857,1.29587116225445
113,HTC,HIST1H2BE,0.000280198228822417,0.127154303599347
113,HTC,RAPGEF4-AS1,0,-0.218217890235992
113,HTC,DRAXIN,0.00633525199408937,2.98241418650109
