cell,donor,truth,pred
OA1_S1.1,OA1,ProC,ProC
OA1_S1.2,OA1,HomC,HomC
OA1_S1.3,OA1,ProC,EC
OA1_S1.4,OA1,ProC,EC
OA1_S1.5,OA1,ProC,EC
OA1_S1.6,OA1,ProC,EC
OA1_S1.7,OA1,ProC,ProC
OA1_S1.8,OA1,ProC,EC
OA1_S1.9,OA1,ProC,EC
OA1_S1.10,OA1,ProC,EC
OA1_S1.11,OA1,ProC,ProC
OA1_S1.12,OA1,HomC,HomC
OA1_S1.13,OA1,ProC,EC
OA1_S1.14,OA1,HTC,HTC
OA1_S1.15,OA1,HTC,FC
OA1_S1.16,OA1,HomC,HomC
OA1_S1.18,OA1,ProC,ProC
OA1_S1.19,OA1,ProC,EC
OA1_S1.20,OA1,RegC,RegC
OA1_S1.21,OA1,HTC,HTC
OA1_S1.22,OA1,HTC,HTC
OA1_S1.23,OA1,ProC,ProC
OA1_S1.24,OA1,ProC,EC
OA1_S1.25,OA1,ProC,ProC
OA1_S1.26,OA1,ProC,EC
OA1_S1.27,OA1,ProC,EC
OA1_S1.28,OA1,HomC,HomC
OA1_S1.29,OA1,ProC,EC
OA1_S1.30,OA1,ProC,EC
OA1_S1.31,OA1,HomC,HomC
OA1_S1.32,OA1,ProC,EC
OA1_S2.1,OA1,HomC,HomC
OA1_S2.2,OA1,RegC,FC
OA1_S2.3,OA1,ProC,ProC
OA1_S2.4,OA1,preHTC,preHTC
OA1_S2.5,OA1,ProC,ProC
OA1_S2.6,OA1,ProC,ProC
OA1_S2.7,OA1,ProC,ProC
OA1_S2.8,OA1,RegC,EC
OA1_S2.9,OA1,HomC,HomC
OA1_S2.10,OA1,preHTC,preHTC
OA1_S2.11,OA1,HTC,HTC
OA1_S2.13,OA1,HomC,HomC
OA1_S2.14,OA1,RegC,FC
OA1_S2.15,OA1,HomC,HomC
OA1_S2.16,OA1,ProC,HomC
OA1_S2.17,OA1,ProC,ProC
OA1_S2.18,OA1,ProC,ProC
OA1_S2.19,OA1,ProC,HTC
OA1_S2.20,OA1,ProC,ProC
OA1_S2.21,OA1,preHTC,preHTC
OA1_S2.22,OA1,ProC,preHTC
OA1_S2.23,OA1,RegC,FC
OA1_S2.24,OA1,RegC,FC
OA1_S2.25,OA1,HomC,HTC
OA1_S2.27,OA1,HomC,preHTC
OA1_S2.28,OA1,HTC,HTC
OA1_S2.29,OA1,HomC,HomC
OA1_S2.30,OA1,ProC,ProC
OA1_S2.31,OA1,ProC,ProC
OA1_S2.32,OA1,ProC,ProC
OA1_S3.1,OA1,ProC,ProC
OA1_S3.2,OA1,ProC,ProC
OA1_S3.4,OA1,ProC,ProC
OA1_S3.7,OA1,ProC,ProC
OA1_S3.9,OA1,HomC,HomC
OA1_S3.10,OA1,preHTC,preHTC
OA1_S3.11,OA1,ProC,ProC
OA1_S3.12,OA1,HomC,HomC
OA1_S3.14,OA1,HomC,HomC
OA1_S3.15,OA1,ProC,ProC
OA1_S3.17,OA1,preHTC,preHTC
OA1_S3.18,OA1,preHTC,preHTC
OA1_S3.19,OA1,preHTC,preHTC
OA1_S3.21,OA1,ProC,ProC
OA1_S3.24,OA1,ProC,ProC
OA1_S3.26,OA1,ProC,RegC
OA1_S3.27,OA1,ProC,RegC
OA1_S3.30,OA1,preHTC,preHTC
OA1_S3.31,OA1,ProC,ProC
OA1_S3.32,OA1,ProC,ProC
OA1_S4.1,OA1,ProC,ProC
OA1_S4.3,OA1,HomC,HomC
OA1_S4.4,OA1,ProC,ProC
OA1_S4.5,OA1,preHTC,preHTC
OA1_S4.6,OA1,HomC,FC
OA1_S4.7,OA1,FC,FC
OA1_S4.8,OA1,ProC,preHTC
OA1_S4.9,OA1,RegC,HTC
OA1_S4.10,OA1,RegC,RegC
OA1_S4.11,OA1,HomC,HomC
OA1_S4.12,OA1,ProC,ProC
OA1_S4.13,OA1,ProC,ProC
OA1_S4.14,OA1,preHTC,preHTC
OA1_S4.15,OA1,preHTC,preHTC
OA1_S4.16,OA1,ProC,preHTC
OA1_S4.17,OA1,HomC,HomC
OA1_S4.18,OA1,HomC,HomC
OA1_S4.19,OA1,HomC,HomC
OA1_S4.20,OA1,HomC,HomC
OA1_S4.21,OA1,HomC,HomC
OA1_S4.22,OA1,ProC,ProC
OA1_S4.23,OA1,ProC,EC
OA1_S4.25,OA1,preHTC,preHTC
OA1_S4.26,OA1,HomC,preHTC
OA1_S4.27,OA1,ProC,preHTC
OA1_S4.28,OA1,HomC,HomC
OA1_S4.29,OA1,HomC,HomC
OA1_S4.30,OA1,HomC,HomC
OA1_S4.31,OA1,ProC,ProC
OA1_S4.32,OA1,preHTC,preHTC
OA10_S0.1,OA10,EC,EC
OA10_S0.2,OA10,EC,HTC
OA10_S0.3,OA10,EC,EC
OA10_S0.4,OA10,HomC,HomC
OA10_S0.6,OA10,EC,HTC
OA10_S0.7,OA10,HomC,HomC
OA10_S0.9,OA10,EC,HTC
OA10_S0.11,OA10,HomC,HomC
OA10_S0.12,OA10,HomC,HomC
OA10_S0.13,OA10,EC,EC
OA10_S0.14,OA10,EC,EC
OA10_S0.17,OA10,EC,ProC
OA10_S0.18,OA10,EC,HTC
OA10_S0.19,OA10,HTC,HTC
OA10_S0.20,OA10,EC,EC
OA10_S0.21,OA10,EC,HomC
OA10_S0.22,OA10,HomC,HTC
OA10_S0.24,OA10,HomC,HomC
OA10_S0.25,OA10,EC,HomC
OA10_S0.26,OA10,EC,HTC
OA10_S0.27,OA10,EC,EC
