truth,pred,N
EC,EC,202
FC,EC,0
HTC,EC,1
HomC,EC,0
ProC,EC,42
RegC,EC,17
preHTC,EC,0
EC,FC,2
FC,FC,42
HTC,FC,18
HomC,FC,5
ProC,FC,6
RegC,FC,27
preHTC,FC,13
EC,HTC,27
FC,HTC,2
HTC,HTC,85
HomC,HTC,7
ProC,HTC,4
RegC,HTC,17
preHTC,HTC,9
EC,HomC,10
FC,HomC,3
HTC,HomC,19
HomC,HomC,141
ProC,HomC,3
RegC,HomC,28
preHTC,HomC,15
EC,ProC,65
FC,ProC,0
HTC,ProC,2
HomC,ProC,0
ProC,ProC,258
RegC,ProC,15
preHTC,ProC,28
EC,RegC,9
FC,RegC,1
HTC,RegC,3
HomC,RegC,2
ProC,RegC,8
RegC,RegC,47
preHTC,RegC,5
EC,preHTC,1
FC,preHTC,4
HTC,preHTC,2
HomC,preHTC,7
ProC,preHTC,26
RegC,preHTC,14
preHTC,preHTC,222
