truth,pred,N,row_total,row_fraction
EC,EC,169,316,0.534810126582278
FC,EC,0,52,0
HTC,EC,5,130,0.0384615384615385
HomC,EC,1,162,0.00617283950617284
ProC,EC,48,347,0.138328530259366
RegC,EC,17,165,0.103030303030303
preHTC,EC,1,292,0.00342465753424658
EC,FC,4,316,0.0126582278481013
FC,FC,35,52,0.673076923076923
HTC,FC,29,130,0.223076923076923
HomC,FC,10,162,0.0617283950617284
ProC,FC,4,347,0.0115273775216138
RegC,FC,26,165,0.157575757575758
preHTC,FC,16,292,0.0547945205479452
EC,HTC,32,316,0.10126582278481
FC,HTC,5,52,0.0961538461538462
HTC,HTC,59,130,0.453846153846154
HomC,HTC,9,162,0.0555555555555556
ProC,HTC,3,347,0.00864553314121038
RegC,HTC,17,165,0.103030303030303
preHTC,HTC,8,292,0.0273972602739726
EC,HomC,15,316,0.0474683544303798
FC,HomC,1,52,0.0192307692307692
HTC,HomC,28,130,0.215384615384615
HomC,HomC,133,162,0.820987654320988
ProC,HomC,4,347,0.0115273775216138
RegC,HomC,36,165,0.218181818181818
preHTC,HomC,17,292,0.0582191780821918
EC,ProC,82,316,0.259493670886076
FC,ProC,0,52,0
HTC,ProC,3,130,0.0230769230769231
HomC,ProC,0,162,0
ProC,ProC,244,347,0.703170028818444
RegC,ProC,14,165,0.0848484848484849
preHTC,ProC,30,292,0.102739726027397
EC,RegC,12,316,0.0379746835443038
FC,RegC,3,52,0.0576923076923077
HTC,RegC,3,130,0.0230769230769231
HomC,RegC,2,162,0.0123456790123457
ProC,RegC,9,347,0.0259365994236311
RegC,RegC,38,165,0.23030303030303
preHTC,RegC,2,292,0.00684931506849315
EC,preHTC,2,316,0.00632911392405063
FC,preHTC,8,52,0.153846153846154
HTC,preHTC,3,130,0.0230769230769231
HomC,preHTC,7,162,0.0432098765432099
ProC,preHTC,35,347,0.100864553314121
RegC,preHTC,17,165,0.103030303030303
preHTC,preHTC,218,292,0.746575342465753
