dataset,GSM_or_sample_id,deposited_title,donor,region,analysis_status,reason
GSE104782,processed-object donor label,OA1,OA1,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA2,OA2,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA3,OA3,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA4,OA4,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA5,OA5,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA6,OA6,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA7,OA7,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA8,OA8,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA9,OA9,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE104782,processed-object donor label,OA10,OA10,OA cartilage chondrocytes,Included,"Published processed 1,464-cell object; library-level GSM link unavailable locally"
GSE152805,GSM4626763,SY_113,113,synovium,Excluded,Tissue mismatch: synovium
GSE152805,GSM4626764,SY_116,116,synovium,Excluded,Tissue mismatch: synovium
GSE152805,GSM4626765,SY_118,118,synovium,Excluded,Tissue mismatch: synovium
GSE152805,GSM4626766,OA_oLT_113,113,lateral,Included,Paired OA cartilage state-transfer analysis
GSE152805,GSM4626767,OA_oLT_116,116,lateral,Included,Paired OA cartilage state-transfer analysis
GSE152805,GSM4626768,OA_oLT_118,118,lateral,Included,Paired OA cartilage state-transfer analysis
GSE152805,GSM4626769,OA_MT_113,113,medial,Included,Paired OA cartilage state-transfer analysis
GSE152805,GSM4626770,OA_MT_116,116,medial,Included,Paired OA cartilage state-transfer analysis
GSE152805,GSM4626771,OA_MT_118,118,medial,Included,Paired OA cartilage state-transfer analysis
GSE51588,GSM1248759,Normal-LT-5,Normal-5,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248760,Normal-LT-4,Normal-4,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248761,Normal-LT-3,Normal-3,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248762,Normal-LT-1,Normal-1,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248763,Normal-MT-2,Normal-2,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248764,Normal-MT-5,Normal-5,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248765,Normal-MT-4,Normal-4,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248766,Normal-MT-3,Normal-3,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248767,Normal-MT-1,Normal-1,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248768,Normal-LT-2,Normal-2,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248769,OA-LT-13,OA-13,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248770,OA-LT-12,OA-12,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248771,OA-LT-11,OA-11,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248772,OA-LT-10,OA-10,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248773,OA-LT-9,OA-9,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248774,OA-LT-8,OA-8,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248775,OA-LT-7,OA-7,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248776,OA-LT-20,OA-20,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248777,OA-LT-19,OA-19,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248778,OA-LT-18,OA-18,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248779,OA-LT-6,OA-6,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248780,OA-LT-5,OA-5,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248781,OA-LT-4,OA-4,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248782,OA-LT-3,OA-3,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248783,OA-LT-2,OA-2,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248784,OA-LT-1,OA-1,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248785,OA-LT-17,OA-17,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248786,OA-LT-16,OA-16,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248787,OA-LT-15,OA-15,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248788,OA-LT-14,OA-14,LT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248789,OA-MT-15,OA-15,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248790,OA-MT-14,OA-14,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248791,OA-MT-13,OA-13,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248792,OA-MT-12,OA-12,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248793,OA-MT-11,OA-11,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248794,OA-MT-10,OA-10,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248795,OA-MT-20,OA-20,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248796,OA-MT-9,OA-9,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248797,OA-MT-8,OA-8,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248798,OA-MT-7,OA-7,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248799,OA-MT-6,OA-6,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248800,OA-MT-5,OA-5,MT,Included,Paired subchondral-bone analysis
GSE51588,GSM1248801,OA-MT-4,OA-4,MT,Included,Paired subchondral-bone analysis
