donor,programme,delta
113,EC,15.6968471828539
116,EC,55.9303757430918
118,EC,27.6917913499627
113,FC,0.125831366967943
116,FC,-62.5944339518257
118,FC,2.46171786234217
113,HomC,23.771269855802
116,HomC,60.0495099594852
118,HomC,38.5185594192847
113,HTC,17.0301985658199
116,HTC,60.9344298426823
118,HTC,35.9737837734862
113,preHTC,-50.973111096721
116,preHTC,-89.4205253248607
118,preHTC,-87.9800058689922
113,ProC,-15.704966008968
116,ProC,-14.1879002232809
118,ProC,-24.1221622416101
113,RegC,10.0539301342452
116,RegC,-10.7114560452921
118,RegC,7.45631570552661
