cell,mean_MT,mean_LT,diff_LT_MT,P_paired,rho_delta,P_delta,FDR_paired,FDR_delta
T_cells,0.0258701296262696,0.216414116803619,0.190543987177349,0.0106887817382813,0.147368421052632,0.533776866653664,0.0274854387555804,0.956905272860718
CD8_T_cells,-0.150327470055778,0.268864575345638,0.419192045401416,0.000104904174804688,0.0842105263157895,0.723888577230757,0.000944137573242188,0.956905272860718
CD4_T_cells,0.123580346601808,0.000524340772553621,-0.123056005829254,0.0136165618896484,0.0781954887218045,0.743101807768873,0.030637264251709,0.956905272860718
Tregs,0.0841844200110018,0.071784995733738,-0.0123994242772638,0.812355041503906,0.0616541353383459,0.796686746072544,0.812355041503906,0.956905272860718
Th1_cells,-0.0254483327064318,0.271595078018767,0.297043410725198,0.000585556030273438,0.335338345864662,0.148467126756072,0.00351333618164063,0.956905272860718
Th2_cells,-0.0321208005362334,0.0824096698727072,0.114530470408941,0.0440540313720703,0.0977443609022556,0.681266912427188,0.0792972564697266,0.956905272860718
Th17_cells,0.0474834165330195,0.0959438608453201,0.0484604443123005,0.261098861694336,-0.168421052631579,0.476174626939838,0.335698536464146,0.956905272860718
B_cells,-0.0241643912486744,0.0664737863235971,0.0906381775722715,0.142906188964844,0.0902255639097744,0.70483738860394,0.214359283447266,0.956905272860718
Plasma_cells,-0.00255627754428295,0.136738221298663,0.139294498842946,0.0295753479003906,0.0135338345864662,0.956905272860718,0.0591506958007813,0.956905272860718
NK_cells,-0.0687009496503825,0.225754493953408,0.29445544360379,3.62396240234375e-05,0.111278195488722,0.639580201009165,0.000652313232421875,0.956905272860718
Monocytes,-0.135235554278548,0.104202062926838,0.239437617205386,0.00638961791992188,0.221052631578947,0.347374222624089,0.0191688537597656,0.956905272860718
Macrophages_M1,0.0980804029142503,0.184197013738717,0.0861166108244671,0.216167449951172,0.517293233082707,0.0209783805193926,0.299308776855469,0.377610849349066
Macrophages_M2,0.0110926396212736,0.07752740916229,0.0664347695410164,0.368276596069336,-0.0315789473684211,0.896294085798863,0.441931915283203,0.956905272860718
Dendritic_cells,0.0333948964029376,0.0733715403132748,0.0399766439103372,0.595819473266602,0.160902255639098,0.49637184867269,0.630867677576402,0.956905272860718
Plasmacytoid_DC,0.0933553254744806,0.023326047330132,-0.0700292781443486,0.069580078125,-0.0977443609022556,0.681266912427188,0.113858309659091,0.956905272860718
Neutrophils,-0.205880893410972,0.038984779855215,0.244865673266187,0.00168991088867188,0.0406015037593985,0.866179629366561,0.00760459899902344,0.956905272860718
Mast_cells,0.182452381828158,-0.0485041669677854,-0.230956548795943,0.00271224975585938,-0.0225563909774436,0.926549607150769,0.00976409912109375,0.956905272860718
Eosinophils,-0.0815986159543057,-0.0135218812124264,0.0680767347418793,0.452375411987305,0.148872180451128,0.529555800227661,0.508922338485718,0.956905272860718
