cell,rho,P,FDR,dataset
T_cells,0.0825361512791991,0.663509299478703,0.853083385044047,GSE55235_Synovium
CD8_T_cells,0.125250278086763,0.508017477509825,0.853083385044047,GSE55235_Synovium
CD4_T_cells,0.0122358175750834,0.949432309862406,0.99437779468455,GSE55235_Synovium
Tregs,-0.191101223581758,0.310331586291259,0.853083385044047,GSE55235_Synovium
Th1_cells,0.132814238042269,0.482536651540291,0.853083385044047,GSE55235_Synovium
Th2_cells,0.228031145717464,0.224592050961688,0.853083385044047,GSE55235_Synovium
Th17_cells,-0.129699666295884,0.49294724301693,0.853083385044047,GSE55235_Synovium
B_cells,0.117241379310345,0.53571665860431,0.853083385044047,GSE55235_Synovium
Plasma_cells,0.00155728587319244,0.99437779468455,0.99437779468455,GSE55235_Synovium
NK_cells,0.195995550611791,0.29791486615847,0.853083385044047,GSE55235_Synovium
Monocytes,-0.155506117908788,0.41027155925055,0.853083385044047,GSE55235_Synovium
Macrophages_M1,-0.133259176863181,0.481058848796668,0.853083385044047,GSE55235_Synovium
Macrophages_M2,-0.0460511679644049,0.80876365268217,0.970516383218604,GSE55235_Synovium
Dendritic_cells,-0.0869855394883204,0.646482346245329,0.853083385044047,GSE55235_Synovium
Plasmacytoid_DC,0.273859844271413,0.142842311241272,0.853083385044047,GSE55235_Synovium
Neutrophils,0.0131256952169077,0.94569192452331,0.99437779468455,GSE55235_Synovium
Mast_cells,0.165739710789766,0.37982226958279,0.853083385044047,GSE55235_Synovium
Eosinophils,0.0896551724137931,0.636350170584673,0.853083385044047,GSE55235_Synovium
T_cells,0.622549019607843,0.00901438391380144,0.0420819844441393,GSE82107_Synovium
CD8_T_cells,0.348039215686275,0.171196025388197,0.280138950635231,GSE82107_Synovium
CD4_T_cells,0.504901960784314,0.0407898208688142,0.0968163304900014,GSE82107_Synovium
Tregs,-0.247549019607843,0.336733582694643,0.505100374041964,GSE82107_Synovium
Th1_cells,0.350490196078431,0.168044272760931,0.280138950635231,GSE82107_Synovium
Th2_cells,-0.649509803921569,0.0059066798655768,0.0420819844441393,GSE82107_Synovium
Th17_cells,-0.053921568627451,0.838872605878498,0.888218053283116,GSE82107_Synovium
B_cells,-0.0588235294117647,0.824102033724561,0.888218053283116,GSE82107_Synovium
Plasma_cells,0.382352941176471,0.130676009253024,0.261352018506048,GSE82107_Synovium
NK_cells,0.127450980392157,0.625399970119372,0.865938420165285,GSE82107_Synovium
Monocytes,0.620098039215686,0.00935155209869763,0.0420819844441393,GSE82107_Synovium
Macrophages_M1,0.57843137254902,0.0168033812241381,0.0504101436724142,GSE82107_Synovium
Macrophages_M2,0.5,0.0430294802177784,0.0968163304900014,GSE82107_Synovium
Dendritic_cells,0.0931372549019608,0.722578203394131,0.888218053283116,GSE82107_Synovium
Plasmacytoid_DC,-0.00245098039215686,0.996228890354542,0.996228890354542,GSE82107_Synovium
Neutrophils,0.600490196078432,0.012428289505793,0.0447418422208549,GSE82107_Synovium
Mast_cells,0.66421568627451,0.00461600635678532,0.0420819844441393,GSE82107_Synovium
Eosinophils,-0.0661764705882353,0.802055628068064,0.888218053283116,GSE82107_Synovium
