cell,mean_OA,mean_Healthy,diff,P,FDR,dataset
T_cells,,,,0.000487128970101106,0.00435168546623655,GSE55235_Synovium
CD8_T_cells,,,,0.0432570525449782,0.0865141050899565,GSE55235_Synovium
CD4_T_cells,,,,0.0010500335577735,0.00472515100998073,GSE55235_Synovium
Tregs,,,,0.578741691744788,0.744096460814727,GSE55235_Synovium
Th1_cells,,,,0.85342830544069,0.903629970466612,GSE55235_Synovium
Th2_cells,,,,0.630528913810648,0.756634696572777,GSE55235_Synovium
Th17_cells,,,,1,1,GSE55235_Synovium
B_cells,,,,0.247450691723138,0.371176037584706,GSE55235_Synovium
Plasma_cells,,,,0.00388620667258438,0.0139903440213038,GSE55235_Synovium
NK_cells,,,,0.85342830544069,0.903629970466612,GSE55235_Synovium
Monocytes,,,,0.000725280911039425,0.00435168546623655,GSE55235_Synovium
Macrophages_M1,,,,0.0892095520578493,0.160577193704129,GSE55235_Synovium
Macrophages_M2,,,,0.00893069778518695,0.0267920933555609,GSE55235_Synovium
Dendritic_cells,,,,0.123005477494642,0.201281690445777,GSE55235_Synovium
Plasmacytoid_DC,,,,0.314999242243824,0.436152796952988,GSE55235_Synovium
Neutrophils,,,,0.0432570525449782,0.0865141050899565,GSE55235_Synovium
Mast_cells,,,,0.000487128970101106,0.00435168546623655,GSE55235_Synovium
Eosinophils,,,,0.0146896447206045,0.0377733721386972,GSE55235_Synovium
T_cells,-0.0624259998582725,-0.122337146362101,0.0599111465038282,0.229535170711641,0.459070341423283,GSE82107_Synovium
CD8_T_cells,-0.116448308198774,-0.149775127180273,0.0333268189814991,0.363842040312629,0.569642122583299,GSE82107_Synovium
CD4_T_cells,0.076260147708745,-0.0329129465303745,0.109173094239119,0.161250514191691,0.414644179350062,GSE82107_Synovium
Tregs,-0.16723325758457,-0.149368839031387,-0.0178644185531834,0.669066227889757,0.752699506375977,GSE82107_Synovium
Th1_cells,-0.0343355120687042,-0.0587953467181322,0.0244598346494279,0.269847799259564,0.485726038667215,GSE82107_Synovium
Th2_cells,-0.272421224162086,-0.219557748306881,-0.0528634758552057,0.043089263677499,0.414644179350062,GSE82107_Synovium
Th17_cells,-0.276407499471582,-0.278874204531089,0.00246670505950725,0.886774989716166,0.886774989716166,GSE82107_Synovium
B_cells,-0.191942232037334,-0.121309709435131,-0.0706325226022029,0.0702385849444673,0.414644179350062,GSE82107_Synovium
Plasma_cells,-0.173428073434707,-0.244256745849671,0.0708286724149641,0.229535170711641,0.459070341423283,GSE82107_Synovium
NK_cells,-0.330121868647834,-0.359735334770906,0.0296134661230719,0.474701768819416,0.569642122583299,GSE82107_Synovium
Monocytes,0.0521801900967675,-0.0122920809861307,0.0644722710828982,0.161250514191691,0.414644179350062,GSE82107_Synovium
Macrophages_M1,0.15448336528507,0.0517153152152447,0.102768050069825,0.0553270259152612,0.414644179350062,GSE82107_Synovium
Macrophages_M2,0.46972437235253,0.412837000733541,0.056887371618989,0.474701768819416,0.569642122583299,GSE82107_Synovium
Dendritic_cells,-0.0116051352272219,0.0437958985707468,-0.0554010337979687,0.133072809543398,0.414644179350062,GSE82107_Synovium
Plasmacytoid_DC,0.0127056267067411,0.0458149187261525,-0.0331092920194114,0.474701768819416,0.569642122583299,GSE82107_Synovium
Neutrophils,0.182524299241059,0.0710024998131721,0.111521799427887,0.161250514191691,0.414644179350062,GSE82107_Synovium
Mast_cells,0.116503639941826,0.0841684986016031,0.0323351413402233,0.474701768819416,0.569642122583299,GSE82107_Synovium
Eosinophils,-0.321167072835256,-0.338340433149436,0.0171733603141798,0.812525709584533,0.860321339560094,GSE82107_Synovium
