sample,group,T_cells,CD8_T_cells,CD4_T_cells,Tregs,Th1_cells,Th2_cells,Th17_cells,B_cells,Plasma_cells,NK_cells,Monocytes,Macrophages_M1,Macrophages_M2,Dendritic_cells,Plasmacytoid_DC,Neutrophils,Mast_cells,Eosinophils
GSM2183532,Healthy,-0.245728097456346,-0.207154405602931,-0.236554686165717,-0.10409374607297,-0.0985248347255408,-0.251051896566898,-0.200542895463061,-0.182304462214545,-0.257033876165714,-0.352874090270415,-0.0766219911501022,-0.133312771219948,0.305119671505287,0.0532707965046953,-0.0234261516612009,-0.147042342216899,0.0312940226161487,-0.323404253819992
GSM2183533,Healthy,-0.263685952682317,-0.217235131871504,-0.212116916372973,-0.0940176166201741,-0.0947422301809256,-0.176373885375785,-0.373733018091278,-0.17190719300195,-0.137206019226907,-0.388318728940839,-0.112588683730776,-0.0154603827169916,0.144506030640857,-0.129940259756096,0.0764165478348599,-0.136243140057969,-0.0988855708863266,-0.334321292052869
GSM2183534,Healthy,0.0321811007358875,0.112568908763433,0.176611183897212,-0.115518517413169,-0.0449862305775295,-0.213953718125131,-0.407447799560333,-0.149478099427711,-0.263076047729848,-0.348234069334143,0.0546016534989306,0.234530243789676,0.468014586264508,0.0771512091275772,0.153309113923621,0.109682330794195,0.238737743223476,-0.359657929946235
GSM2183535,Healthy,-0.127448111304743,-0.0850983205745795,-0.00911940982102396,-0.191078384201517,-0.089258784902994,-0.238459866550894,-0.27695912610932,-0.119414317789443,-0.182975128595836,-0.443005799636723,0.0439990156806509,0.0363770213356851,0.496572248527144,0.15478644156211,0.104455002209924,0.140942149803075,0.126320057983105,-0.368240882223463
GSM2183536,Healthy,-0.156869484148152,-0.201535054418591,-0.0241583670316859,-0.150070852944336,-0.066569310229324,-0.19816489860983,-0.292092938018815,-0.0659199378135425,-0.307102322625587,-0.358908316311756,0.000723472765583455,0.0772798486402933,0.497918610729655,0.132785460195706,-0.010047849078505,0.165421226779563,0.111717657632899,-0.387408940413276
GSM2183537,Healthy,-0.0435513513855497,-0.248346926814959,0.068938525288986,-0.242169683699195,-0.0132077653891394,-0.160955402230112,-0.178986783001931,-0.0105742724012734,-0.383914537389018,-0.227768141847609,0.0476232028551037,0.0772374801070738,0.495754666648736,-0.0055662375503634,0.0348585822694807,0.235593431761427,0.0404288782082338,-0.293400814513988
GSM2183538,Healthy,-0.0512581282934858,-0.20162495974278,0.00600904449258027,-0.148633072268348,-0.00427827102147166,-0.297944570689517,-0.222356871472883,-0.149569683397451,-0.178489289214788,-0.399038197054857,-0.0437812368223053,0.0853557665709241,0.481973190818598,0.0240838799115985,-0.0148608144151115,0.128663841828813,0.139566701433687,-0.30194891907623
GSM2183539,OA,-0.0810560949788567,0.0231597742092457,0.0555997866074667,-0.190347551858434,-0.0186230317545694,-0.187806167294595,-0.254637643021258,-0.19481897175991,-0.216617125898659,-0.355479834619252,-0.0667018901231188,0.179710440073895,0.340464379324507,-0.0537567739294955,0.0480676299296395,0.088627261487866,-0.0967506154472439,-0.336927084361894
GSM2183540,OA,-0.0320040505408196,-0.0738972534150726,0.14149824457203,-0.131987554113071,-0.0255123229387863,-0.265201254143072,-0.319661506444396,-0.149420259176701,-0.112542356163318,-0.409089118333342,0.0459556124172588,0.174763528354087,0.556994200363277,0.0923715288096268,0.00236739347250822,0.164319560285443,0.172990367558435,-0.370423214884305
GSM2183541,OA,0.0407053580994146,0.0574856591673511,0.150304741593952,-0.145101511429242,-0.0168540279074821,-0.270827172615748,-0.290887221378736,-0.0700511125428495,0.0340237737660851,-0.297144591618048,0.108674555651894,0.253427983729752,0.442271004680612,0.024591074305091,-0.016284500144371,0.24001168877346,0.226622833048363,-0.325229233940478
