cell,diff_I_NR,P_paired,rho_all,P_corr,FDR_paired,FDR_corr
T_cells,0.0181810167270803,0.6220703125,-0.64,0.000989999010799039,0.861328125,0.0178199821943827
CD8_T_cells,0.082020254195936,0.0341796875,-0.0182608695652174,0.933558597611832,0.0878906250000001,0.933558597611832
CD4_T_cells,0.00125896423942717,0.9697265625,0.216521739130435,0.30803842868869,0.9697265625,0.564538006388987
Tregs,0.0153589271747269,0.2333984375,0.224347826086957,0.29053029219495,0.4201171875,0.564538006388987
Th1_cells,0.00228426542448282,0.67724609375,-0.231304347826087,0.27551187491021,0.870744977678572,0.564538006388987
Th2_cells,-0.0142193495674679,0.6220703125,-0.205217391304348,0.334470891197762,0.861328125,0.564538006388987
Th17_cells,-0.00230274179886229,0.7333984375,-0.233913043478261,0.27001197141194,0.880078125,0.564538006388987
B_cells,0.0222592106684141,0.791015625,0.051304347826087,0.811878544809295,0.889892578125,0.896598062304917
Plasma_cells,-0.0222219044935085,0.12939453125,0.169565217391304,0.42654414226392,0.2587890625,0.639816213395879
NK_cells,0.063582229503266,0.00927734375000001,-0.26695652173913,0.206524436480862,0.0333984375,0.564538006388987
Monocytes,0.113005944537726,0.00048828125,-0.0747826086956522,0.727811968348571,0.00878906250000001,0.896598062304917
Macrophages_M1,0.0687334694950493,0.02685546875,-0.0539130434782609,0.802416451658601,0.0805664062500001,0.896598062304917
Macrophages_M2,0.118688486996768,0.00146484375,-0.213913043478261,0.314018494109394,0.01318359375,0.564538006388987
Dendritic_cells,0.0432007149720496,0.0922851562500001,0.117391304347826,0.583474237250128,0.2076416015625,0.807887405423254
Plasmacytoid_DC,0.000484951574736464,0.9697265625,-0.342608695652174,0.101682592485551,0.9697265625,0.564538006388987
Neutrophils,0.0971424575574637,0.00244140625,-0.200869565217391,0.344995448348825,0.0146484375,0.564538006388987
Mast_cells,0.208136722685224,0.00683593750000001,-0.0417391304347826,0.846787058843533,0.03076171875,0.896598062304917
Eosinophils,0.0277193045441633,0.38037109375,-0.313913043478261,0.135235553329379,0.622425426136364,0.564538006388987
