sample,subject,region,T_cells,CD8_T_cells,CD4_T_cells,Tregs,Th1_cells,Th2_cells,Th17_cells,B_cells,Plasma_cells,NK_cells,Monocytes,Macrophages_M1,Macrophages_M2,Dendritic_cells,Plasmacytoid_DC,Neutrophils,Mast_cells,Eosinophils
GSM1138130,36,NormalReact,-0.201850017920813,-0.285723664997502,0.0259672903571593,-0.166076374022868,0.0557488280737215,-0.258179542263307,-0.00596081467740629,-0.13733134498901,-0.0687784924726729,-0.256685184406835,0.0781195904242066,0.126666549148308,0.247148057207268,-0.178245936657588,-0.0227619597078125,0.120662937087317,0.273471605723841,-0.324656472913708
GSM1138131,38,NormalReact,-0.279482781957576,-0.349833839214988,-0.0085923035412239,-0.142922934336018,0.0606955978525438,-0.360908208687644,0.0140844253367026,-0.148506295268892,-0.022531490895803,-0.343951716151475,0.0864199132283959,0.128721668595392,0.186688060470207,-0.130507015114842,-0.0187051154303553,0.145221628531869,-0.0033378214778724,-0.320047879823794
GSM1138132,39,NormalReact,-0.186107481926518,-0.379682831207594,-0.0242037007893466,-0.213155711501547,0.10641511576935,-0.331987730649837,0.00256509663616,-0.14627100380097,-0.0457916794521333,-0.265667988400876,-0.0750625164293578,-0.0834430734600249,0.0695736450971063,-0.136643156504856,-0.0448933149111142,-0.0343060479534549,0.0262012405480427,-0.312200387254603
GSM1138133,42,NormalReact,-0.147192776714879,-0.332342286149399,0.0118790241418807,-0.19614425573429,0.0721378719642136,-0.267365622528326,-0.0144196682279003,-0.141887901504077,-0.091588421052871,-0.198817668990022,-0.0954353842858777,-0.0426801556810389,0.0560250593518033,-0.115563740392152,-0.0519230607652848,0.0290054172844463,0.00115591658643597,-0.340074714239713
GSM1138134,43,NormalReact,-0.165301988831794,-0.267215451708952,-0.0602643257780453,-0.154583763562603,0.0242768612777053,-0.370219853200852,-0.0285678989434583,-0.106342883410878,-0.0457387733327404,-0.217339627685924,-0.00156674334716209,-0.0668587696241847,0.0730399406605779,0.0330372244366312,-0.0021235949512153,0.0493038916981388,0.473989258328063,-0.276259296664951
GSM1138135,46,NormalReact,-0.133370030900185,-0.417703890336819,-0.0387779066512099,-0.218346940133444,0.0594278137744908,-0.339568866589254,-0.0397839543413273,-0.185278879419055,-0.0633000471980226,-0.362621573662506,-0.142008687962234,-0.177388098939371,-0.106616146980565,-0.178294772452572,-0.0801117414379092,-0.111121709736299,0.00414046060948864,-0.333484516930014
GSM1138136,47,NormalReact,-0.256863694727373,-0.395280417220623,-0.00309370692179583,-0.179040739072063,0.00757327632326254,-0.371688163690867,-0.0220284535329019,-0.109780388950993,-0.0566522695287999,-0.261637295684404,-0.106088036686537,-0.106617872618197,0.0589526578063729,-0.197421544394767,-0.0940009454080276,-0.0257787987638813,0.345493781688926,-0.344551918677477
GSM1138137,49,NormalReact,-0.302338118423783,-0.330322119829555,0.0217890316123756,-0.146645982474986,0.0759506432720492,-0.32916165329145,-0.0332933142816706,-0.142528050123173,0.0473671739747561,-0.394114832094771,-0.128950928470021,-0.137319840833461,-0.0396041960359095,-0.125235189413773,-0.107236405575467,-0.100085709144444,-0.225208624676153,-0.404225790126039
GSM1138138,52,NormalReact,-0.312791264232406,-0.315461916883888,0.000601967451328193,-0.113974898402127,0.0358855952424947,-0.351017435096559,-0.0156044714449441,-0.167126995287487,0.0509932147086513,-0.351593628850039,-0.194281714067971,-0.166091463577014,-0.129979583251511,-0.177578769968663,-0.0719669003603609,-0.153805589809476,0.0476828422337584,-0.381308195143729
GSM1138139,53,NormalReact,-0.239074981564459,-0.352969921255537,-0.0450788475711962,-0.182873942355834,0.0155985221176239,-0.328712205239227,-0.00948062268083631,-0.143224254839948,-0.0332884770462262,-0.395075494747574,-0.171876077807001,-0.13189053582621,-0.126308962564209,-0.139381813889136,-0.113768168928066,-0.129099693427633,-0.0916566472913428,-0.290091791106437
GSM1138140,54,NormalReact,-0.191092470991135,-0.334867637143962,0.0603499763025935,-0.237531699114244,0.0865648549518943,-0.24864676223839,-0.00488120564001039,-0.118340314546549,-0.0242589793539874,-0.295617579754067,0.0614755606041978,0.0216323633870231,0.103746609741499,-0.130309239346369,-0.135357817035408,0.115623181189686,0.121169465536393,-0.366367880915577
GSM1138141,57,NormalReact,-0.20611042024861,-0.396286332729949,0.0355833775638038,-0.200754005767469,0.0132145331195238,-0.322501347112818,-0.0212551193511829,-0.0876497329403467,0.0056612279808789,-0.33664971651555,-0.0651875055309566,-0.0371890897859484,0.0447777347994234,-0.130430672405989,-0.127317320894647,-0.0103073237048907,-0.163704064971938,-0.498357372819638
GSM1138142,36,Inflam,-0.207309752378225,-0.179511971883501,0.0594516840341832,-0.138517323781928,0.0393700376730586,-0.342632519752257,-0.030074977851143,-0.00803479603612148,-0.0747111982842658,-0.287842586781739,0.141784175231492,0.123337119092954,0.309870003240598,0.0170431440293555,-0.0837317042682122,0.101200240940277,0.501642627180362,-0.248057718124349
