comparison,pathway,NES,size,pval,padj,leadingEdge
R1_GSE51588_Medial_vs_Lateral,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.77072318382261,195,7.20767527776913e-24,3.22435056520199e-22,THY1;INHBA;CD44;CTHRC1;SERPINH1;COL3A1;VCAN;CRLF1;POSTN;ADAM12;LUM;OXTR;SERPINE2;PCOLCE;COL6A3;PRRX1;GPX7;FAP;BMP1;GJA1;MMP2;EMP3;COL7A1;HTRA1;CDH2;COL5A2;WNT5A;SLIT3;MSX1;LOX;CALU;PPIB;MMP14;SPARC;TIMP1;BASP1;ECM1;TGFBI;LRRC15;COL4A1;TPM4;CDH6;PLOD2;COL1A2;NID2;SPP1;DCN;COL6A2;CAPG;PDLIM4;PLAUR;TPM1;GPC1;THBS2;TNFRSF12A;SDC1;FOXC2;SGCD;ACTA2;BGN;FSTL1;SPOCK1;DPYSL3;ITGAV;TNFRSF11B;EDIL3;DKK1;PFN2;IGFBP2;SNAI2;COL1A1;VEGFC;ITGB3;COL12A1;COL5A3;COL16A1;QSOX1;COL4A2;COMP;ANPEP;ITGA5;MXRA5;FN1;MATN3;SERPINE1;EFEMP2;LOXL2;GAS1;FBN2;SCG2;MFAP5;ITGA2;PLOD3;MGP;PTHLH;NT5E;LAMA1;COL11A1;MATN2;TNC;LAMC2;ABI3BP;PMP22;CXCL6;PLOD1;NNMT;IGFBP4
R1_GSE51588_Medial_vs_Lateral,HALLMARK_ADIPOGENESIS,-2.8164710356797,188,1.28974022608079e-23,3.22435056520199e-22,ITIH5;ACADL;ELMOD3;ESYT1;FZD4;PPARG;CYP4B1;SLC1A5;LEP;DGAT1;FAH;CAT;C3;ANGPT1;ADIPOR2;LIPE;MGLL;ITGA7;CD36;VEGFB;CIDEA;LPL;ALDH2;BCL6;STAT5A;GPX3;GPAM;MRAP;SNCG;ADIPOQ;PEX14;ADCY6;ACADS;ACOX1;FABP4;GPX4;IDH1;ECH1;ITSN1;PGM1;PDCD4;PHLDB1;SLC27A1;REEP6;STOM;SLC5A6;RTN3;MCCC1;BAZ2A;EPHX2;YWHAG;PFKFB3;UCP2;SLC25A1;TST;SCARB1;LTC4S;CD302;PTGER3;DLD;POR;SPARCL1;IDH3A;PIM3;ANGPTL4;CMBL;RETSAT;TOB1;CS;MGST3;MYLK;CD151;ECHS1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_G2M_CHECKPOINT,2.67590704988571,189,4.75510232303602e-21,7.92517053839337e-20,SQLE;PBK;BIRC5;CDKN3;CHEK1;NDC80;UBE2C;HMGB3;CDC45;EXO1;GINS2;HMMR;RAD54L;BUB1;UCK2;KIF4A;CCNB2;E2F1;CCNA2;KIF2C;PTTG1;AURKB;CDK1;TPX2;MAD2L1;ORC6;TTK;NUSAP1;KIF23;HIF1A;CENPF;CENPA;CDC7;KIF11;PTTG3P;CKS2;UBE2S;SMC2;KIF15;G3BP1;RACGAP1;PRC1;STIL;CDC25A;MCM2;DDX39A;SNRPD1;ESPL1;TROAP;LMNB1;EZH2;MCM6;DBF4;CDK4;SMC4;CENPE;ODF2;ORC5;BUB3;DR1;TOP2A;SMARCC1;SLC12A2;RASAL2;PLK1;TACC3;AURKA;FANCC;PLK4;RBL1;CDC20;MKI67;SRSF2;KPNA2;DKC1;SLC38A1;HOXC10;DTYMK;CCNF;FBXO5;SLC7A5;MYBL2
R1_GSE51588_Medial_vs_Lateral,HALLMARK_E2F_TARGETS,2.62582604821638,194,1.18635087720342e-19,1.48293859650427e-18,BIRC5;UBE2T;CDKN3;CHEK1;HMGB3;CDCA3;TK1;DIAPH3;HMMR;SPC25;DEPDC1;KIF4A;CENPM;NME1;RNASEH2A;CCNB2;MELK;KIF2C;PTTG1;AURKB;CDK1;MAD2L1;ORC6;DLGAP5;SPC24;TRIP13;GINS1;PRDX4;CDKN2A;CDCA8;MMS22L;MTHFD2;TUBB;SPAG5;CKS2;UBE2S;RAN;RACGAP1;BUB1B;CIT;CDC25A;MCM2;DDX39A;ESPL1;LMNB1;EZH2;MCM6;TCF19;CBX5;CDK4;SMC4;GINS4;CENPE;ASF1B;WDR90;RAD51AP1;CHEK2;PCNA;AK2;TOP2A;CCNE1;PLK1;TACC3;AURKA;MCM4;PAICS;ATAD2;RANBP1;PHF5A;GINS3;E2F8;PLK4;CDC20;MKI67;SRSF2;KPNA2
R1_GSE51588_Medial_vs_Lateral,HALLMARK_MYC_TARGETS_V1,2.38942732055193,192,1.53245769212388e-14,1.53245769212388e-13,LSM7;CDC45;CBX3;NME1;CCNA2;MAD2L1;PSMB3;EIF4A1;TYMS;SET;PRDX4;C1QBP;CDK2;RAN;G3BP1;RPLP0;PSMD7;PGK1;HPRT1;MCM2;HDGF;SNRPD1;MCM6;CDK4;RPS5;PCNA;SRM;BUB3;LDHA;GOT2;GNL3;ACP1;SNRPD2;SMARCC1;YWHAQ;NPM1;RFC4;ILF2;IMPDH2;NOP16;LSM2;HDAC2;MCM4;TXNL4A;RANBP1;PSMA4;RRM1;VDAC1;CDC20;EIF4E;VBP1;SRSF2;AP3S1;SNRPG;KPNA2;HDDC2;RPL14;CLNS1A;ABCE1;SRSF3;RPL6;PSMA6;SNRPD3;RPL18;AIMP2;MRPL23;APEX1;CCT2;NOP56;EEF1B2;PTGES3;SNRPB2;HNRNPA1;CCT7;FBL;DUT;NHP2;PPIA;ERH;RPL34;NAP1L1;XPOT;PSMD14;PSMB2;ORC2;CSTF2;POLE3;SLC25A3;RUVBL2;XRCC6;COX5A;PSMA1;EIF3D;DDX21;TFDP1;EIF2S1;PSMA2;EIF2S2;RPS10;TCP1;HSPE1;HNRNPA2B1;PSMD8;NCBP1;MRPL9;SRPK1;RRP9;RSL1D1;HSPD1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_FATTY_ACID_METABOLISM,-2.12262837390029,154,6.89898819165177e-09,5.74915682637648e-08,CA4;ACADL;MAOA;AOC3;FASN;AQP7;ADIPOR2;MGLL;ADH1C;CD36;CIDEA;GPD1;ACSL1;G0S2;EPHX1;ACADS;ACOX1;CYP4A11;ALDH3A2;ETFDH;IDH1;ECH1;VNN1;REEP6;HSDL2;ACSL5;ALDH9A1;SLC22A5;EHHADH;PDHA1;LTC4S;BPHL;GCDH;AUH;DLD;RETSAT;CBR3;GABARAPL1;ECHS1;SDHA;MLYCD;INMT;HADH;SUCLG1;ALDH3A1;GLUL;ECI1;HIBCH;ACAA1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.975647261556,196,1.66374506878907e-07,1.18838933484934e-06,IRS2;SNN;BCL6;STAT5A;TRIB1;BTG2;KDM6B;HES1;G0S2;MAP3K8;CCL2;TNF;TNFAIP2;REL;PTPRE;CFLAR;PTGER4;TRAF1;NFAT5;EGR2;PFKFB3;CXCL3;CCL4;CEBPB;JUN;RHOB;FOS;SQSTM1;IER2;TNIP1;EGR1;FOSB;PER1;JUNB;ZFP36;TLR2;TUBB2A;KLF10;TNFAIP3;EHD1;RELA;ETS2;F2RL1;TNFAIP8;CCL5;IRF1;CXCL2;DUSP1;KLF2;LITAF;CD83;CD69;NAMPT;TRIP10;IL1B;MCL1;PNRC1;PLEK;KLF6;DENND5A;PPP1R15A;DRAM1;ATF3;KLF4;NR4A1;MAFF;SLC2A3
R1_GSE51588_Medial_vs_Lateral,HALLMARK_MTORC1_SIGNALING,1.85153269202031,193,8.4884334112137e-07,5.30527088200856e-06,SYTL2;MLLT11;SERPINH1;FADS2;SQLE;EBP;FADS1;GAPDH;SSR1;BUB1;SHMT2;P4HA1;RDH11;PLOD2;SDF2L1;TES;MTHFD2;TPI1;HSPA4;BCAT1;PGK1;CDC25A;ENO1;HPRT1;MCM2;DDX39A;GLA;IFI30;CALR;SRD5A1;EEF1E1;PSMB5;PHGDH;LDHA;SORD;GOT1;ACTR3;PLK1;HMGCR;AURKA;MCM4;PNP;PSMA4;GMPS;ACLY;CD9;PDAP1;SLC7A11;SLC6A6;PRDX1;RPN1;ATP6V1D;GTF2H1;ATP2A2;HSP90B1;ACTR2;PSMG1;CCNF;RRM2;SLC7A5;CCT6A;ASNS;CYP51A1;TMEM97;PNO1;IDI1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_GLYCOLYSIS,1.81560487331295,196,2.88933031864313e-06,1.6051835103573e-05,TPBG;ADORA2B;CD44;VCAN;SLC16A3;P4HA2;KDELR3;KIF20A;CAPN5;TPST1;HMMR;DEPDC1;P4HA1;TGFBI;MIF;SDC2;CDK1;TXN;CHST12;PDK3;ALG1;PLOD2;CENPA;DCN;CHPF;RPE;PAM;GPC1;SDC1;TPI1;FUT8;B4GALT2;PGK1;ENO1;CHST1;B4GALT1;PMM2;CHPF2;LDHA;GOT2;QSOX1;PPFIA4;GOT1;COPB2;B3GNT3;PFKP;AURKA;EXT2;GALK2;KIF2A;HDLBP;SRD5A3;IL13RA1;EXT1;POLR3K;B4GALT7;DPYSL4;NT5E;PGAM1;GMPPB;XYLT2;GALE;PLOD1;B4GALT4;IDUA;DSC2;SOX9;HSPA5;ECD;ENO2;ME2;SLC37A4;PGM2
R1_GSE51588_Medial_vs_Lateral,HALLMARK_ESTROGEN_RESPONSE_EARLY,-1.76807658887651,192,1.60630312510183e-05,8.03151562550917e-05,MAPT;GAB2;LRIG1;NPY1R;SLC24A3;TMEM164;GREB1;WFS1;FASN;AR;BCL2;INHBB;DHRS3;SH3BP5;CBFA2T3;HES1;CALB2;TUBB2B;PEX11A;FLNB;ENDOD1;RAPGEFL1;ABCA3;SLC22A5;TFF3;SLC19A2;NRIP1;FOXC1;RHOBTB3;FOS;SCARB1;MPPED2;FDFT1;SCNN1A;PGR;TTC39A;KLF10;ITPK1;AKAP1;TOB1;SYBU;ASB13;NCOR2;ZNF185;HSPB8;SYT12;SVIL;NAV2;MED13L;KLF4;OLFM1;ADD3;CHPT1;MYBL1;CELSR2
