tf,n_target,n_overlap,enrich_p,enrich_FDR
ADNP,353,9,0.00414162549162308,0.0324201011844265
ADNP2,257,7,0.00779987718488376,0.0520900888920559
AEBP2,707,13,0.00992192385837961,0.0607399825945675
AHR,44,3,0.00677649000354371,0.0472375763020748
AIRE,403,3,0.689574630465523,0.900827144317859
ALX1,726,9,0.189757613668308,0.435621444839505
ALX3,369,2,0.837224297376432,0.975060004871332
ALX4,421,6,0.166756565844142,0.403748551746585
AR,131,2,0.319550120271994,0.584617557202594
ARID3A,23,1,0.183610495287835,0.425601997572529
ARID3B,745,5,0.786268778761978,0.958986824671378
ARID5A,886,17,0.00219346966614609,0.0196008404553038
ARID5B,699,17,0.000157414964171737,0.00259191880662085
ARNT,63,1,0.426577896056466,0.686984638674409
ARNT2,462,9,0.0213398775683384,0.107828481892927
ARNTL2,684,19,1.05414529097351e-05,0.000305063258448394
ARX,388,9,0.00754810283603962,0.0507636493550552
ASCL1,52,2,0.0764196155340961,0.256072746789691
ASCL2,462,5,0.382064569337485,0.646935573966841
ATF2,24,1,0.190783084388497,0.435880013375634
ATF3,48,4,0.000829705113198398,0.00900418617164171
ATF5,314,2,0.764697954636796,0.950442622111896
ATF6,10,2,0.0032942556658503,0.0271208117317848
ATF6B,1052,6,0.903865761715473,0.988771722429438
ATF7,28,1,0.218851657413278,0.477176558971873
ATOH1,1070,7,0.833866231934454,0.973569258991369
ATOH8,302,5,0.127742999043181,0.344617412672987
BARHL1,522,6,0.309963778285766,0.577028086282468
BARHL2,570,7,0.235846399649297,0.498570203628936
BARX1,445,4,0.550413883338961,0.788073850957582
BARX2,478,5,0.409842043928717,0.672507133938015
BATF,47,1,0.339497743369055,0.609436738566632
BATF3,1217,29,1.01878674609829e-06,4.05392226051612e-05
BBX,726,5,0.767167321162711,0.950442622111896
BCL11A,36,1,0.272114646306345,0.540269204204905
BCL11B,407,2,0.874876617201947,0.982949611091599
BCL6,45,4,0.000648493266377987,0.00728601258107033
BCL6B,686,15,0.0011341637877129,0.011282566846519
BHLHA15,1024,8,0.680793479792069,0.899250032090492
BHLHE23,273,1,0.911124439351372,0.988771722429438
BHLHE40,57,3,0.0137791089431657,0.0756267186248462
BHLHE41,347,4,0.363117280391164,0.629359351676155
BNC1,252,3,0.381009499930864,0.646294977680241
BNC2,696,22,2.39358394628976e-07,1.26992926039262e-05
BRF2,353,2,0.818514730801152,0.967427683063243
BSX,411,4,0.488040153229581,0.734028613647929
CASZ1,267,5,0.0869278780499155,0.27094398880434
CBX2,369,7,0.044933331709124,0.177319552819064
CDC5L,1223,20,0.00567204433335084,0.0410363813511368
CEBPA,147,1,0.727446615459226,0.930002031811996
CEBPB,42,2,0.0524933319035205,0.196592674383773
CEBPD,14,1,0.1161422400073,0.332083350919075
CEBPG,44,2,0.0570281476009343,0.210837079909582
CEBPZ,304,1,0.932601392774077,0.988771722429438
CENPB,381,6,0.119966734648965,0.337308818914114
CIC,437,6,0.187366992109375,0.431169825215549
CLOCK,50,2,0.071395425183269,0.246146682491054
CREB1,75,1,0.484299399842306,0.734028613647929
CREB3L2,739,22,6.5630132578852e-07,2.84894439149108e-05
CREB3L4,612,5,0.625962326215782,0.852773211891686
CREBL2,1007,13,0.107208659764776,0.316032876257321
CREBZF,466,4,0.586900224695717,0.82295637927928
CRX,558,5,0.543968181661855,0.782363875733541
CSRNP1,153,7,0.000417573581151926,0.00511259961538576
CSRNP2,208,5,0.0368851925315789,0.151833443395077
CSRNP3,399,2,0.867683075728734,0.981622180337639
CTCF,115,2,0.267711330845309,0.536891244130259
CTCFL,52,2,0.0764196155340961,0.256072746789691
CUX1,40,1,0.297374542610912,0.562361758798853
CUX2,451,4,0.561009915267175,0.800843750493502
CXXC1,886,7,0.663897153409643,0.883038692905583
CXXC4,477,10,0.00979785107463596,0.0607399825945675
DBP,1035,22,0.000122052154515197,0.00219924165211346
DEAF1,131,1,0.685900546959201,0.899773382343457
DLX1,577,3,0.884740476894451,0.988218895244679
DLX2,400,4,0.467120304377403,0.721573970980849
DLX3,898,15,0.0132307356761892,0.0739499817098213
DLX4,390,5,0.258756784069442,0.528816566514374
DLX5,35,1,0.265659710516875,0.535242665703831
DLX6,432,5,0.329999147242963,0.595745152395142
DMBX1,387,5,0.253807062529158,0.526202139921242
DMRT3,447,8,0.0443520187298916,0.177222501619442
DMRTA1,163,2,0.41986331151803,0.680700594481921
DMRTC2,355,1,0.957275828767542,0.988771722429438
DMTF1,683,4,0.853333906961617,0.981622180337639
DNMT1,48,1,0.345306524519216,0.614092608781846
DUX4,36,1,0.272114646306345,0.540269204204905
DUXA,407,5,0.287211815078178,0.55377736318103
E2F1,318,1,0.940523336683241,0.988771722429438
E2F5,13,1,0.108311337085264,0.316032876257321
E2F6,69,3,0.022863821733999,0.111850216159021
E2F8,711,7,0.433019046120118,0.695013763100358
E4F1,764,8,0.356622902897755,0.625885456447749
EBF1,73,3,0.0264632838256779,0.121502096411165
EBF2,512,10,0.0154259925625582,0.0827630499845117
EBF3,374,7,0.0476800093942929,0.183606487788507
EBF4,571,15,0.000169329488008151,0.00269516101746307
EGR1,124,3,0.0959806653911515,0.292848356065654
EGR3,447,10,0.00636125293911899,0.0449999744952492
EGR4,464,5,0.385541467345727,0.649368785388305
ELF1,49,1,0.351064459254828,0.620863997385853
ELF2,593,5,0.598111217373023,0.832647540220462
ELF4,956,16,0.0104844675912355,0.0625791659351869
ELK3,1246,30,5.23253252449775e-07,2.49853428044768e-05
ELK4,13,1,0.108311337085264,0.316032876257321
EMX1,415,5,0.300804134735284,0.565488087937394
EMX2,525,8,0.0925388731156121,0.284162777573664
EN1,460,4,0.57664927824882,0.813512109908745
EN2,396,5,0.268724802075834,0.536891244130259
EOMES,21,1,0.169074943927838,0.404730448078101
ERF,624,10,0.0494751191606787,0.188241987244813
ESR1,154,1,0.743857418454358,0.937181839873234
ESRRA,67,5,0.000308497387028911,0.00433257359724426
ESRRB,576,6,0.393958368624459,0.657745178385241
ESRRG,747,7,0.48412391137905,0.734028613647929
ESX1,387,6,0.126518324222673,0.344617412672987
ETS1,139,2,0.345177359200593,0.614092608781846
ETV2,976,8,0.628008586961716,0.85409847595731
ETV3,730,12,0.0281841640715103,0.126103659513834
ETV5,893,18,0.000944828383985387,0.00980772942071788
ETV6,90,4,0.00819100791761574,0.053213690893354
ETV7,382,6,0.121046622394612,0.339001537791363
EVX1,308,1,0.934966269275097,0.988771722429438
EVX2,693,7,0.407203306883702,0.670481307024027
FEV,731,8,0.313313876259137,0.579873550053247
FEZF1,411,10,0.00356498633363379,0.0290988200736775
FIGLA,414,5,0.299099148243048,0.564505309431049
FIZ1,691,4,0.859488760505481,0.981622180337639
