tf,EC,FC,HomC,HTC,preHTC,ProC,RegC
ADNP,0.161787465532937,-0.00276463292014005,0.207027271414745,0.182188845438218,0.146565175046704,0.273214957497338,0.0540226827456913
ADNP2,0.162179567891611,0.233662678657763,0.256683462971093,0.0724149103416584,0.0218732086058248,0.131083714227253,0.146261235440112
AEBP2,0.193210852145637,0.0673751282019316,0.241784514214008,0.25296897856641,-0.0343806834868781,0.223592084753979,0.113680473289557
AHR,0.14914733927058,0.0836557442872008,0.165873668220671,-0.0216374656228121,0.0355270801124281,0.284361047929342,0.163035184793705
AHRR,0.0644069029722818,0.0359402279618206,0.0685748987960193,-0.221604136927554,-0.101736239541255,0.0665047373516176,0.045312863351291
AIRE,0.144608493264489,-0.0777169031994925,0.128660653238067,0.0278333615810349,0.0367544217995864,0.176045601276307,0.0823184150080513
ALX1,0.155970787707376,0.0305133559333976,0.139598100881878,0.222013583890779,-0.065553309381458,0.147374943844136,-0.0773178158756437
ALX3,0.166432173261806,-0.0611291056786522,0.138376189905009,0.0150321227013637,0.00171886350704533,0.00107933521269984,-0.0437475556295759
ALX4,0.119527544653611,0.0872395277021971,0.139619013783683,0.111872350783091,0.119385676317853,0.183315237071588,-0.0105099232743726
AR,0.0520861360970801,-0.0722900311710694,0.127373015998383,0.143279341374043,0.0566513030879489,0.0722698452746496,0.0127069444694941
ARID2,0.0673503319905642,0.11928879081345,0.130492025924671,0.101985410876967,0.0500338004910376,0.262252202982696,0.151189159571154
ARID3A,0.0732133366408046,0.11724091457631,0.131424143833676,-0.0125272706910423,0.0813887965846629,0.0990137155497026,0.0274180418612555
ARID3B,0.210744273906742,-0.150314115806133,0.134154771297878,0.123499440282924,-0.104119730271025,0.103934304902993,0.111631597289526
ARID5A,-0.181872411089074,-0.0600027737482248,-0.10486475854182,-0.172494586455965,-0.0736595184427691,-0.265343099880703,-0.111352078053506
