tf,n_target,n_overlap,enrich_p,enrich_FDR,rho,FDR,max_abs_rho,validated_in_bulk
TSHZ3,975,41,4.81024012214814e-17,4.59377931665148e-14,0.173079953955582,3.03601790847067e-10,0.313290429008097,FALSE
PRRX2,1386,41,5.80582429374303e-12,2.7722811002623e-09,0.19544513347154,1.25291732104734e-12,0.294141505780094,FALSE
ZNF469,484,24,8.7274755222022e-12,2.7782463745677e-09,0.164088963102156,2.39201203887801e-09,0.321221212196632,FALSE
ZNF423,1098,35,3.46673500062174e-11,8.27682981398439e-09,0.145711171019622,1.29591632327273e-07,0.326644617228823,FALSE
GLIS2,1066,34,6.76827132936183e-11,1.08984179485242e-08,0.197848179434386,6.58768860733321e-13,0.338991777922657,FALSE
ZBTB47,733,28,6.84717358022463e-11,1.08984179485242e-08,0.223411507577189,2.83530214879581e-16,0.340261831267017,FALSE
ZNF750,460,22,1.35160986075855e-10,1.84398202432059e-08,0.231656043625557,3.03486697399193e-17,0.261043212609237,FALSE
MEIS3,1045,32,7.25988916190962e-10,8.66649268702961e-08,0.169708433776469,6.38014138272139e-10,0.342265424063092,FALSE
GLIS3,838,28,1.40458886285775e-09,1.49042484892128e-07,0.229622468160639,5.05240446235621e-17,0.288934077262682,FALSE
ZFPM2,646,24,3.00972648757262e-09,2.87428879563185e-07,0.165912025294441,1.59150806713924e-09,0.296546286340961,FALSE
HEYL,410,19,4.36827884210707e-09,3.79246026746568e-07,0.172074452763801,3.7671619553129e-10,0.309881994301217,FALSE
TERF1,460,19,2.77537295949745e-08,2.20873431360005e-06,0.219623807833471,9.05530885071623e-16,0.290264464468433,FALSE
VEZF1,909,27,3.32397503702615e-08,2.4418432002769e-06,0.181621152917304,3.99748455822826e-11,0.258099159823742,FALSE
PRRX1,989,28,4.95999728744535e-08,3.38342672107879e-06,0.165851709071451,1.60480785532952e-09,0.296046585964597,FALSE
ZFP91,995,28,5.62669597729151e-08,3.58232977220893e-06,0.188516139194927,7.57055659028628e-12,0.243110989699901,FALSE
OSR1,262,14,8.967609403751e-08,5.35254186286388e-06,0.135530422488437,9.21191429601916e-07,0.282726571558867,FALSE
OSR2,498,19,9.6409462822489e-08,5.41594335267512e-06,0.146420515758069,1.12561578667496e-07,0.259208826754469,FALSE
BNC2,696,22,2.39358394628976e-07,1.26992926039262e-05,0.15168097354252,3.73550698434439e-08,0.310046263283174,FALSE
TEAD3,953,26,3.17550477540701e-07,1.59610897921773e-05,0.22888443721013,6.16909927743403e-17,0.30386873651955,FALSE
ELK3,1246,30,5.23253252449775e-07,2.49853428044768e-05,-0.171053991217838,4.81169657102598e-10,0.224681010430617,FALSE
GATAD2A,918,25,5.6410121963637e-07,2.56531745120349e-05,-0.146261613926837,1.15579920557593e-07,0.190760203443171,TRUE
CREB3L2,739,22,6.5630132578852e-07,2.84894439149108e-05,0.243291594607083,9.59863384252939e-19,0.306308303647421,FALSE
PLAGL1,469,17,9.48985217389077e-07,3.94035166350682e-05,0.140586883716293,3.43041638875653e-07,0.360646096462977,FALSE
BATF3,1217,29,1.01878674609829e-06,4.05392226051612e-05,0.209898303552642,1.95531660127746e-14,0.224275267716441,FALSE
ZFHX4,372,15,1.14210305648432e-06,4.36283367577011e-05,0.152665547648012,3.01348180676748e-08,0.291159143745165,FALSE
