tf,rho,p,fdr
SNAI2,0.348649275024517,4.26347674585461e-43,4.87741739725768e-40
E2F6,0.298784788305245,1.42583075581781e-31,8.1557519232779e-29
ZNF263,0.249885307149029,2.80364734480365e-22,1.06912418748512e-19
ZNF165,0.209444194417207,5.63648257726324e-16,1.61203401709729e-13
ZNF287,-0.204534554333715,2.72360058551753e-15,6.23159813966412e-13
MYNN,0.193044766230377,9.31968724250076e-14,1.77695370090348e-11
THAP10,-0.182062343929741,2.23614535647699e-12,3.65450041115668e-10
GLIS3,0.179320083707776,4.7981360518924e-12,6.86133455420613e-10
CREB3L2,0.175585031229615,1.33159355968596e-11,1.69260336920081e-09
FOXC1,0.173257438370372,2.48767433112698e-11,2.84589943480926e-09
ZNF207,0.169234331818723,7.18157896179428e-11,7.46884212026605e-09
NHLH1,0.168182550766203,9.43577333693837e-11,8.99543724788124e-09
ZNF423,0.166943328825646,1.29867716947686e-10,1.14283590913964e-08
ARID5B,0.166608419239626,1.41518718694015e-10,1.15641010132824e-08
ZNF691,-0.16583629648,1.7240421667994e-10,1.31486949254567e-08
IKZF3,0.165432630959182,1.91077319712348e-10,1.36620283594329e-08
BATF3,0.160893458529331,5.96833372384877e-10,4.01633751769588e-08
ZNF18,-0.157364285937005,1.4153548578541e-09,8.99536642991719e-08
ZBTB43,0.156429314293329,1.77344806555954e-09,1.06780241421059e-07
ZNF32,-0.155532620199712,2.19893642351835e-09,1.25779163425249e-07
ZNF584,0.154410308350934,2.87309295862488e-09,1.53933174753608e-07
ZNF684,-0.154284374865385,2.9602533606463e-09,1.53933174753608e-07
ZBTB2,0.152923487167809,4.0823802553855e-09,2.03054044007e-07
RORB,0.150717232255542,6.83264748408787e-09,3.25689530074855e-07
GLIS2,0.150436081863423,7.29223278346914e-09,3.26604225267759e-07
PLAG1,0.150257160787888,7.60019795003868e-09,3.26604225267759e-07
ZNF175,0.150196012757583,7.70831650544536e-09,3.26604225267759e-07
TERF2,0.149973128569113,8.1152005067879e-09,3.31563906420191e-07
CXXC4,0.149155661900672,9.79382225197567e-09,3.86349401940006e-07
HOXC13,0.14882165774002,1.05727256086518e-08,4.00374139660359e-07
ZNF675,-0.148708783609919,1.08492992390482e-08,4.00374139660359e-07
TFAP2B,0.148529354548897,1.13034675081743e-08,4.0409896341723e-07
ZNF793,-0.148064916565664,1.25664479439678e-08,4.25110935795214e-07
IRX4,0.148041226036813,1.26344159239836e-08,4.25110935795214e-07
ZNF92,0.146744609410451,1.69513770357564e-08,5.47675434384422e-07
ZNF469,0.146671190398482,1.72345416414678e-08,5.47675434384422e-07
ZBTB47,0.14645978755757,1.80757550476033e-08,5.58882804715085e-07
