motif,n_target,n_bg,OR,p,fdr,tf
Hsapiens-SwissRegulon-MTF1.SwissRegulon,71,1415,2.17430494240847,5.29414021926031e-07,0.00124933752523633,MTF1
Hsapiens-HOCOMOCOv10-KLF15_HUMAN.H10MO.D,103,2407,1.99635528863602,6.31439502327628e-07,0.00124933752523633,KLF15
Hsapiens-HOCOMOCOv10-PURA_HUMAN.H10MO.D,119,2930,1.98287676886811,6.69078872800286e-07,0.00124933752523633,PURA
Hsapiens-HOCOMOCOv11-secondary-D-PURA_HUMAN.H11MO.0.D,119,2930,1.98287676886811,6.69078872800286e-07,0.00124933752523633,PURA
Hsapiens-SwissRegulon-KLF15.SwissRegulon,104,2485,1.9413677911698,1.674819820397e-06,0.00245176666786663,KLF15
Hsapiens-jaspar2024-PRDM9-MA1723.2,123,3131,1.91570243988139,1.96955415814698e-06,0.00245176666786663,PRDM9
Hsapiens-HOCOMOCOv13-CPXCR1.H13CORE.0.P.C,90,2063,1.94853011635611,2.95298513236e-06,0.00275698074419961,CPXCR1
Hsapiens-HOCOMOCOv13-MBD3.H13CORE.0.P.B,136,3595,1.91948899734616,2.86163082009852e-06,0.00275698074419961,MBD3
Hsapiens-HOCOMOCOv13-ZN283.H13CORE.0.P.C,80,1774,1.96411238919952,4.44991677697778e-06,0.00369293648969411,ZN283
Hsapiens-SwissRegulon-CHD1.SwissRegulon,122,3149,1.86330657920292,5.54094002713897e-06,0.00413852810627009,CHD1
Hsapiens-HOCOMOCOv13-GLI4.H13CORE.0.P.C,59,1196,2.04659977908989,1.13792643817204e-05,0.00458081829569273,GLI4
Hsapiens-HOCOMOCOv11-secondary-D-ZF64A_HUMAN.H11MO.0.D,69,1461,2.00565985899588,6.86276539065753e-06,0.00458081829569273,ZF64A
Hsapiens-HOCOMOCOv11-core-C-VEZF1_HUMAN.H11MO.0.C,157,4441,1.91321440003103,7.44391372790819e-06,0.00458081829569273,VEZF1
Hsapiens-jaspar2024-ZNF93-MA1721.2,91,2142,1.88641206461136,8.09237133157683e-06,0.00458081829569273,ZNF93
Hsapiens-HOCOMOCOv11-core-C-ZN341_HUMAN.H11MO.0.C,145,4003,1.86085766823925,1.16529050231841e-05,0.00458081829569273,ZN341
Hsapiens-HOCOMOCOv13-ZN180.H13CORE.0.P.C,139,3789,1.84294245524903,1.15693587915785e-05,0.00458081829569273,ZN180
Hsapiens-SwissRegulon-SP4.SwissRegulon,128,3386,1.83888354389266,9.56577436957082e-06,0.00458081829569273,SP4
Hsapiens-HOCOMOCOv10-EGR4_HUMAN.H10MO.D,107,2680,1.83268174224146,1.07369360009634e-05,0.00458081829569273,EGR4
Hsapiens-HOCOMOCOv11-secondary-D-EGR4_HUMAN.H11MO.0.D,107,2680,1.83268174224146,1.07369360009634e-05,0.00458081829569273,EGR4
Hsapiens-HOCOMOCOv13-PATZ1.H13CORE.0.P.B,153,4329,1.859211400513,1.50181776516073e-05,0.00464923321992404,PATZ1
Hsapiens-HOCOMOCOv13-ZN548.H13CORE.0.P.B,97,2362,1.83855804355966,1.46176974497959e-05,0.00464923321992404,ZN548
