pathway,logFC,AveExpr,t,P.Value,adj.P.Val
Androgen,-0.127919687680819,-1.45022882591661e-17,-0.394015946606841,0.693694262025445,0.693694262025445
EGFR,-1.25153973743271,5.44703171456717e-18,-3.85497043731893,0.000126854780433155,0.000355193385212833
Estrogen,-0.375835405374724,-4.02455846426619e-17,-1.15764153041543,0.24742164170866,0.288658581993437
Hypoxia,-1.17625133599511,6.93889390390723e-20,-3.62306844241278,0.000313090176444579,0.000730543745037352
JAK-STAT,1.394505243927,1.80411241501588e-17,4.2953302474056,2.00175239529737e-05,9.34151117805441e-05
MAPK,-1.03813289147827,4.18935719448399e-17,-3.19763846641129,0.00145059031778628,0.00290118063557256
NFkB,-0.767889248029189,-5.16947595841089e-18,-2.36523880285242,0.0183015078098277,0.0284690121486209
p53,0.546476891267092,-6.05418493115906e-18,1.6832483999541,0.092791476039761,0.129908066455665
PI3K,-1.42039197501175,-8.74300631892311e-18,-4.37506609602934,1.40696864082968e-05,9.34151117805441e-05
TGFb,1.73513033255139,-1.40165656858926e-17,5.34451758647462,1.24314657018155e-07,1.74040519825417e-06
TNFa,-0.924860953942794,-7.3899220076612e-18,-2.84874025925344,0.00452352928587237,0.00791617625027664
Trail,-0.311435223986282,1.92814514354822e-17,-0.959277237229123,0.337764104630936,0.363745958833316
VEGF,0.446728649049387,-1.02695629777827e-17,1.37600563855959,0.169278275655997,0.215445078107633
WNT,1.31218179992274,1.37910516340156e-17,4.04175903952235,5.91885062010023e-05,0.000207159771703508
