tf,outcome,tissue,n_snp,thr,method,estimate,se,p,Q,p_het
TCF7L1,ART,Artery_Aorta,1,5e-08,IVW (RE),0.0270782198322028,0.0165894640192633,0.102625978771499,,
TCF7L1,ART,Artery_Aorta,1,5e-08,Weighted median,,,,,
TCF7L1,ART,Artery_Aorta,1,5e-08,MR-Egger slope,,,,,
TCF7L1,ART,Artery_Aorta,1,5e-08,MR-Egger intercept,,,,,
GATAD2A,ART,Whole_Blood,1,5e-08,IVW (RE),-0.0225413751579869,0.0314609333689853,0.473690193649373,,
GATAD2A,ART,Whole_Blood,1,5e-08,Weighted median,,,,,
GATAD2A,ART,Whole_Blood,1,5e-08,MR-Egger slope,,,,,
GATAD2A,ART,Whole_Blood,1,5e-08,MR-Egger intercept,,,,,
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,IVW (RE),0.0332231192531925,0.0612058024790543,0.587260654228292,,
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,Weighted median,,,,,
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,MR-Egger slope,,,,,
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,MR-Egger intercept,,,,,
ZNF853,ART,Muscle_Skeletal,1,5e-08,IVW (RE),0.0394842275934168,0.0995253144474608,0.691569912639493,,
ZNF853,ART,Muscle_Skeletal,1,5e-08,Weighted median,,,,,
ZNF853,ART,Muscle_Skeletal,1,5e-08,MR-Egger slope,,,,,
ZNF853,ART,Muscle_Skeletal,1,5e-08,MR-Egger intercept,,,,,
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,IVW (RE),0.00746111558430741,0.0220299222244753,0.734850072691883,,
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,Weighted median,,,,,
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,MR-Egger slope,,,,,
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,MR-Egger intercept,,,,,
ATF6,ART,Adipose_Subcutaneous,1,5e-08,IVW (RE),-0.0153360962005084,0.0403626253210377,0.703976706190721,,
ATF6,ART,Adipose_Subcutaneous,1,5e-08,Weighted median,,,,,
ATF6,ART,Adipose_Subcutaneous,1,5e-08,MR-Egger slope,,,,,
ATF6,ART,Adipose_Subcutaneous,1,5e-08,MR-Egger intercept,,,,,
TCF7L1,KNEE,Artery_Aorta,1,5e-08,IVW (RE),0.0413780792574081,0.020218881450765,0.0407065298469138,,
TCF7L1,KNEE,Artery_Aorta,1,5e-08,Weighted median,,,,,
TCF7L1,KNEE,Artery_Aorta,1,5e-08,MR-Egger slope,,,,,
TCF7L1,KNEE,Artery_Aorta,1,5e-08,MR-Egger intercept,,,,,
GATAD2A,KNEE,Whole_Blood,1,5e-08,IVW (RE),-0.0234553606082621,0.0380975722082536,0.538115315730693,,
GATAD2A,KNEE,Whole_Blood,1,5e-08,Weighted median,,,,,
GATAD2A,KNEE,Whole_Blood,1,5e-08,MR-Egger slope,,,,,
GATAD2A,KNEE,Whole_Blood,1,5e-08,MR-Egger intercept,,,,,
BCL6,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,IVW (RE),0.066124943043077,0.0754083342736539,0.380545460452061,,
BCL6,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,Weighted median,,,,,
BCL6,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,MR-Egger slope,,,,,
BCL6,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,MR-Egger intercept,,,,,
ZNF853,KNEE,Muscle_Skeletal,1,5e-08,IVW (RE),-0.0773367513662742,0.1206285995415,0.521448255936008,,
ZNF853,KNEE,Muscle_Skeletal,1,5e-08,Weighted median,,,,,
ZNF853,KNEE,Muscle_Skeletal,1,5e-08,MR-Egger slope,,,,,
ZNF853,KNEE,Muscle_Skeletal,1,5e-08,MR-Egger intercept,,,,,
PKNOX2,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,IVW (RE),0.0335491573423661,0.0272796015713845,0.218762351303035,,
PKNOX2,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,Weighted median,,,,,
PKNOX2,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,MR-Egger slope,,,,,
PKNOX2,KNEE,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,MR-Egger intercept,,,,,
ATF6,KNEE,Adipose_Subcutaneous,1,5e-08,IVW (RE),-0.0201208273771025,0.048953005126848,0.681055424834237,,
ATF6,KNEE,Adipose_Subcutaneous,1,5e-08,Weighted median,,,,,
ATF6,KNEE,Adipose_Subcutaneous,1,5e-08,MR-Egger slope,,,,,
ATF6,KNEE,Adipose_Subcutaneous,1,5e-08,MR-Egger intercept,,,,,
TCF7L1,COX,Artery_Aorta,1,5e-08,IVW (RE),-0.00803555091931453,0.0265447456673698,0.762105393456807,,
TCF7L1,COX,Artery_Aorta,1,5e-08,Weighted median,,,,,
TCF7L1,COX,Artery_Aorta,1,5e-08,MR-Egger slope,,,,,
TCF7L1,COX,Artery_Aorta,1,5e-08,MR-Egger intercept,,,,,
GATAD2A,COX,Whole_Blood,1,5e-08,IVW (RE),-0.0765661853248808,0.0509639044291721,0.133003887997605,,
GATAD2A,COX,Whole_Blood,1,5e-08,Weighted median,,,,,
GATAD2A,COX,Whole_Blood,1,5e-08,MR-Egger slope,,,,,
GATAD2A,COX,Whole_Blood,1,5e-08,MR-Egger intercept,,,,,
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,IVW (RE),-0.00911065415756329,0.097704475091916,0.925707296014656,,
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,Weighted median,,,,,
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,MR-Egger slope,,,,,
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,1,1e-05,MR-Egger intercept,,,,,
ZNF853,COX,Muscle_Skeletal,1,5e-08,IVW (RE),0.156687700715533,0.160241177150936,0.328161280283342,,
ZNF853,COX,Muscle_Skeletal,1,5e-08,Weighted median,,,,,
ZNF853,COX,Muscle_Skeletal,1,5e-08,MR-Egger slope,,,,,
ZNF853,COX,Muscle_Skeletal,1,5e-08,MR-Egger intercept,,,,,
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,IVW (RE),0.0296024099730683,0.0357927414720407,0.408208355871347,,
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,Weighted median,,,,,
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,MR-Egger slope,,,,,
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,1,5e-08,MR-Egger intercept,,,,,
ATF6,COX,Adipose_Subcutaneous,1,5e-08,IVW (RE),0.0839562829824135,0.0655985292192338,0.200597866453989,,
ATF6,COX,Adipose_Subcutaneous,1,5e-08,Weighted median,,,,,
ATF6,COX,Adipose_Subcutaneous,1,5e-08,MR-Egger slope,,,,,
ATF6,COX,Adipose_Subcutaneous,1,5e-08,MR-Egger intercept,,,,,
