tf,outcome,tissue,n_snp,thr,method,estimate,se,p,Q,p_het
TCF7L1,ART,Artery_Aorta,55,5e-08,IVW (RE),0.0358236355077165,0.00293526443095233,2.93862600217103e-34,33.4363725097711,0.98745923728056
TCF7L1,ART,Artery_Aorta,55,5e-08,Weighted median,0.0286475369090819,0.00387103304121753,1.35684049978747e-13,,
TCF7L1,ART,Artery_Aorta,55,5e-08,MR-Egger slope,0.0178665292234136,0.00837136528990009,0.0328228802828479,,
TCF7L1,ART,Artery_Aorta,55,5e-08,MR-Egger intercept,0.00567461731496009,0.00240156260380139,0.0181332739305068,,
GATAD2A,ART,Whole_Blood,361,5e-08,IVW (RE),-0.0183579452247712,0.00221699686440369,1.22611465616704e-16,130.476481132677,1
GATAD2A,ART,Whole_Blood,361,5e-08,Weighted median,-0.0212880209535469,0.00295315020864931,5.65381519908537e-13,,
GATAD2A,ART,Whole_Blood,361,5e-08,MR-Egger slope,-0.0165698277478491,0.00152644532226126,1.88450016150754e-27,,
GATAD2A,ART,Whole_Blood,361,5e-08,MR-Egger intercept,-0.000892212006529014,0.000265353532423638,0.000772815133372827,,
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,IVW (RE),0.0446543244824222,0.0422122269967578,0.29012253550709,0.066524414097883,0.796466124115163
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,Weighted median,,,,,
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,MR-Egger slope,,,,,
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,MR-Egger intercept,,,,,
ZNF853,ART,Muscle_Skeletal,4,5e-08,IVW (RE),0.0254552031591958,0.0520220849592071,0.624618476445969,0.0869174907832113,0.993359765765794
ZNF853,ART,Muscle_Skeletal,4,5e-08,Weighted median,0.0393734232288517,0.0697450585753173,0.572391096299602,,
ZNF853,ART,Muscle_Skeletal,4,5e-08,MR-Egger slope,-1.09445648691142,0.00856069596890883,0,,
ZNF853,ART,Muscle_Skeletal,4,5e-08,MR-Egger intercept,-0.362255949193122,0.00276876030574722,0,,
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,IVW (RE),0.00764648947555762,0.00699730374190266,0.274491917931983,0.0051236653213268,0.999999999999958
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,Weighted median,0.00743722112618282,0.00903624347862341,0.410483277720676,,
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,MR-Egger slope,-0.0334344281178296,0.116177691804854,0.773509797479139,,
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,MR-Egger intercept,-0.0147293479751987,0.0416546095888223,0.723633671602952,,
ATF6,ART,Adipose_Subcutaneous,210,5e-08,IVW (RE),-0.00374498476549142,0.00348718214058352,0.282854666943109,81.7891578574794,1
ATF6,ART,Adipose_Subcutaneous,210,5e-08,Weighted median,-0.0198909897695057,0.00474605748484911,2.77659866824634e-05,,
ATF6,ART,Adipose_Subcutaneous,210,5e-08,MR-Egger slope,0.00279323462855899,0.000726280137549999,0.000120087914708866,,
ATF6,ART,Adipose_Subcutaneous,210,5e-08,MR-Egger intercept,-0.00570314871414403,0.000134341107173643,0,,
TCF7L1,KNEE,Artery_Aorta,55,5e-08,IVW (RE),0.0433553066576268,0.00356442943897278,4.87351087887637e-34,43.0638299933966,0.85719606215926
TCF7L1,KNEE,Artery_Aorta,55,5e-08,Weighted median,0.0386117429716857,0.00483328230880287,1.36346077287055e-15,,
TCF7L1,KNEE,Artery_Aorta,55,5e-08,MR-Egger slope,0.0365006031443261,0.0124900142104178,0.0034736428463354,,
