tf,outcome,n_snp,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4
TCF7L1,ART,55,3.59739069529372e-23,0.993756853436486,2.26204628659069e-25,0.00623753064751776,5.61591599760635e-06
GATAD2A,ART,361,3.90633991868114e-25,0.996238166134288,1.47579958575218e-27,0.00375991981521934,1.9140504915919e-06
BCL6,ART,2,0.87652290655471,0.123444051756302,2.98850681987219e-05,2.10441385951011e-06,1.05220692975505e-06
ZNF853,ART,4,0.0144548074839601,0.985484463264768,1.00088225834574e-06,5.12196538412977e-05,8.50871517171729e-06
PKNOX2,ART,10,0.000737372134780329,0.999222708060696,3.09849809673326e-08,3.77894825888738e-05,2.09933695386225e-06
ATF6,ART,210,3.7817073436595e-11,0.998699768986127,4.93327040366138e-14,0.00129764934258731,2.58163341990235e-06
TCF7L1,KNEE,55,3.51883966427962e-23,0.972057618622517,1.01204429781002e-24,0.0279276671232356,1.47142542444501e-05
GATAD2A,KNEE,361,3.91162282152217e-25,0.99758547065662,9.47651203638333e-28,0.00241225339868881,2.27594469169625e-06
BCL6,KNEE,2,0.876506308791073,0.123441714230177,4.70113847775502e-05,3.31039598179235e-06,1.65519799089617e-06
ZNF853,KNEE,4,0.014454533988849,0.985465817206491,1.3133917679811e-06,6.71278012246765e-05,1.12076116669321e-05
PKNOX2,KNEE,10,0.000737325773179786,0.999159882844148,7.97834353695098e-08,9.73076126141982e-05,5.40398662269284e-06
ATF6,KNEE,210,3.78022528051443e-11,0.998308375367821,6.41779375356483e-14,0.00168839325276246,3.23134154865813e-06
TCF7L1,COX,55,3.61749322422309e-23,0.99931005229284,2.50660239040486e-26,0.000687462060451142,2.48564670694594e-06
GATAD2A,COX,361,3.9015036301451e-25,0.995004762149397,1.96191549438459e-27,0.00498698103632239,8.25681428299513e-06
BCL6,COX,2,0.876517382808355,0.123443273826112,3.55847173106637e-05,2.50576548118812e-06,1.25288274059406e-06
ZNF853,COX,4,0.0144540046814601,0.985429730651299,1.92176852694527e-06,9.76655104135505e-05,1.66773883007513e-05
PKNOX2,COX,10,0.000737338058479915,0.999176530816434,6.68531613388932e-08,8.15349429193171e-05,4.52932900552892e-06
ATF6,COX,210,3.77837805485195e-11,0.997820547073685,8.28663412668511e-14,0.00217051338268948,8.93950576031504e-06
