TF,Outcome,n_SNP,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4
TCF7L1,ART,55,nan,nan,nan,nan,5.61591599760635e-06
TCF7L1,KNEE,55,nan,nan,nan,nan,1.47142542444501e-05
TCF7L1,COX,55,nan,nan,nan,nan,2.48564670694594e-06
GATAD2A,ART,361,nan,nan,nan,nan,1.9140504915919e-06
GATAD2A,KNEE,361,nan,nan,nan,nan,2.27594469169625e-06
GATAD2A,COX,361,nan,nan,nan,nan,8.25681428299513e-06
BCL6,ART,2,nan,nan,nan,nan,1.05220692975505e-06
BCL6,KNEE,2,nan,nan,nan,nan,1.65519799089617e-06
BCL6,COX,2,nan,nan,nan,nan,1.25288274059406e-06
ZNF853,ART,4,nan,nan,nan,nan,8.50871517171729e-06
ZNF853,KNEE,4,nan,nan,nan,nan,1.12076116669321e-05
ZNF853,COX,4,nan,nan,nan,nan,1.66773883007513e-05
PKNOX2,ART,10,nan,nan,nan,nan,2.09933695386225e-06
PKNOX2,KNEE,10,nan,nan,nan,nan,5.40398662269284e-06
PKNOX2,COX,10,nan,nan,nan,nan,4.52932900552892e-06
ATF6,ART,210,nan,nan,nan,nan,2.58163341990235e-06
ATF6,KNEE,210,nan,nan,nan,nan,3.23134154865813e-06
ATF6,COX,210,nan,nan,nan,nan,8.93950576031504e-06
