tf,outcome,n_snp,TF_unadj_beta,TF_unadj_se,TF_unadj_p,TF_adj_beta,TF_adj_se,TF_adj_p,BMI_adj_beta,BMI_adj_se,BMI_adj_p,Q_total,Q_df,Q_p,modQ_TF_p,modQ_BMI_p,mvmr_ok
TCF7L1,ART,54,0.0368,0.0029,2.53e-37,0.0315,0.0032,1.32e-22,-2.5439,0.6889,0.000222,26.165,52,0.999,1.32e-22,0.000222,TRUE
GATAD2A,ART,349,-0.0191,0.0022,1.71e-17,-0.0347,0.0044,4.46e-15,-0.3572,0.0873,4.33e-05,125.103,347,1,4.46e-15,4.33e-05,TRUE
BCL6,ART,2,,,,,,,,,,,,,,,FALSE
ZNF853,ART,4,0.0255,0.0519,0.624,-0.1456,0.5821,0.802,-2.618,8.8702,0.768,0,2,1,0.802,0.768,TRUE
PKNOX2,ART,10,0.0076,0.007,0.274,-0.0099,0.2574,0.969,-1.787,26.2358,0.946,0.001,8,1,0.969,0.946,TRUE
ATF6,ART,204,-0.0032,0.0035,0.358,0.0507,0.0162,0.00179,1.2271,0.3606,0.000666,71.49,202,1,0.00179,0.000666,TRUE
TCF7L1,KNEE,54,0.0453,0.0035,2.24e-38,0.0353,0.0039,1.68e-19,-4.8162,0.8355,8.2e-09,21.59,52,1,1.68e-19,8.2e-09,TRUE
GATAD2A,KNEE,349,-0.0274,0.0027,7.14e-24,-0.0224,0.0054,2.94e-05,0.1143,0.1058,0.28,72.741,347,1,2.94e-05,0.28,TRUE
BCL6,KNEE,2,,,,,,,,,,,,,,,FALSE
ZNF853,KNEE,4,-0.0631,0.0628,0.315,0.1141,0.7035,0.871,2.7099,10.718,0.8,0,2,1,0.871,0.8,TRUE
PKNOX2,KNEE,10,0.0342,0.0085,5.61e-05,-0.0107,0.3124,0.973,-4.5722,31.8396,0.886,0.002,8,1,0.973,0.886,TRUE
ATF6,KNEE,204,-0.0037,0.0043,0.388,0.0444,0.0197,0.0242,1.0929,0.4371,0.0124,116.072,202,1,0.0242,0.0124,TRUE
TCF7L1,COX,54,0.0068,0.0047,0.142,-1e-04,0.0052,0.986,-3.3227,1.1112,0.00279,35.581,52,0.96,0.986,0.00279,TRUE
GATAD2A,COX,349,-0.0822,0.0036,1.06e-114,-0.0632,0.0071,6.99e-19,0.4351,0.1406,0.00197,15.787,347,1,6.99e-19,0.00197,TRUE
BCL6,COX,2,,,,,,,,,,,,,,,FALSE
ZNF853,COX,4,0.092,0.0827,0.266,-0.7084,0.9269,0.445,-12.2429,14.12,0.386,0,2,1,0.445,0.386,TRUE
PKNOX2,COX,10,0.0299,0.0113,0.00781,-0.0091,0.4147,0.982,-3.9815,42.274,0.925,0.001,8,1,0.982,0.925,TRUE
ATF6,COX,204,0.0389,0.0057,6.13e-12,0.0947,0.0261,0.000288,1.2705,0.5802,0.0286,47.977,202,1,0.000288,0.0286,TRUE
