gene,n_human_targets,human_target_ids,target_type,known_drug_mech,phase4_drugs,gwas_assoc_total,gwas_oa_assoc
PIEZO1,1,CHEMBL5169186,SINGLE PROTEIN,0,0,200,0
BCL6,6,CHEMBL4105786;CHEMBL4106125;CHEMBL4523673;CHEMBL4523692;CHEMBL4523746;CHEMBL6195567,SINGLE PROTEIN,0,0,200,0
RELA,2,CHEMBL5533;CHEMBL2094258,SINGLE PROTEIN,1,0,200,0
RXRB,3,CHEMBL1870;CHEMBL2363070;CHEMBL2363071,SINGLE PROTEIN,6,4,200,0
NR1H2,5,CHEMBL4093;CHEMBL3430878;CHEMBL3706564;CHEMBL3706565;CHEMBL6193828,SINGLE PROTEIN,7,0,200,0
GATAD2A,1,CHEMBL5725025,SINGLE PROTEIN,0,0,200,0
ATF6,0,,,0,0,200,0
TCF7L1,0,,,0,0,200,0
PKNOX2,0,,,0,0,200,0
ZNF853,0,,,0,0,200,0
