trim_fraction,donor,state,n_lateral,n_medial,mean_lateral,mean_medial,delta_lateral_minus_medial
0,113,EC,1508,456,0.155631897011549,0.202028472657361,-0.0463965756458118
0,113,FC,425,144,0.18014509757636,0.16563815970578,0.0145069378705801
0,113,HTC,1327,460,0.159431044174819,0.18779194465888,-0.02836090048406
0,113,HomC,1716,343,0.17936038331258,0.162585128257125,0.0167752550554551
0,113,ProC,313,466,0.211337062120779,0.235776374581665,-0.0244393124608861
0,113,RegC,618,110,0.159097841384122,0.190634533875488,-0.031536692491366
0,113,preHTC,293,1201,0.270639708104408,0.272270253726559,-0.00163054562215054
0,116,EC,917,137,0.178480679922324,0.316708793856582,-0.138228113934258
0,116,FC,123,786,0.15118551275707,0.223520495469243,-0.072334982712173
0,116,HTC,860,136,0.163377356873503,0.312682616896751,-0.149305260023248
0,116,HomC,1097,104,0.172250191843311,0.271125810758728,-0.0988756189154174
0,116,ProC,121,360,0.279500179424321,0.38311522535429,-0.103615045929969
0,116,RegC,345,191,0.181772400463276,0.286442235783404,-0.104669835320127
0,116,preHTC,322,1833,0.259579248414496,0.374632571516317,-0.115053323101821
0,118,EC,891,324,0.201622592848185,0.253493109148712,-0.0518705163005269
0,118,FC,257,118,0.178480486664916,0.217876569291293,-0.0393960826263768
0,118,HTC,1376,402,0.180904323689998,0.207924460643693,-0.0270201369536953
0,118,HomC,1113,210,0.198575787015438,0.186002309016282,0.0125734779991563
0,118,ProC,314,568,0.257212733666485,0.284856101968508,-0.0276433683020231
0,118,RegC,172,75,0.197597186202293,0.231628485496456,-0.0340312992941625
0,118,preHTC,517,3179,0.233672927541877,0.290532221112742,-0.056859293570865
0.1,113,EC,1355,397,0.153266481389331,0.205242688358802,-0.0519762069694709
0.1,113,FC,340,124,0.184672437790479,0.154940199798049,0.0297322379924293
0.1,113,HTC,1202,404,0.160560521669199,0.191105034549615,-0.0305445128804151
0.1,113,HomC,1589,310,0.180434397596955,0.1596748619416,0.0207595356553557
0.1,113,ProC,271,390,0.225367448323185,0.225834995949393,-0.00046754762620857
0.1,113,RegC,541,92,0.163151057611517,0.164123499067556,-0.000972441456038919
0.1,113,preHTC,282,1145,0.268922946256441,0.276767481576821,-0.00784453532038049
0.1,116,EC,836,98,0.1850117045168,0.289068726777082,-0.104057022260283
0.1,116,FC,105,727,0.159243156419214,0.215176376559921,-0.0559332201407068
0.1,116,HTC,772,112,0.166770546434181,0.323807608213582,-0.157037061779401
0.1,116,HomC,999,79,0.16699486994929,0.225144592703655,-0.058149722754365
0.1,116,ProC,94,293,0.299417120349276,0.399291218021218,-0.0998740976719418
0.1,116,RegC,295,158,0.171670242617104,0.264292161063552,-0.0926219184464478
0.1,116,preHTC,306,1725,0.265716118641259,0.378581799723963,-0.112865681082704
0.1,118,EC,784,242,0.199896283919502,0.245255298367672,-0.0453590144481699
0.1,118,FC,225,82,0.174814933235453,0.202163114800801,-0.0273481815653477
0.1,118,HTC,1255,331,0.183815574422971,0.208312031652389,-0.0244964572294178
0.1,118,HomC,1017,165,0.198849715367355,0.187799451700571,0.0110502636667842
0.1,118,ProC,258,453,0.24562865078315,0.292006382808582,-0.0463777320254322
0.1,118,RegC,152,56,0.206088106121393,0.22594793758909,-0.0198598314676972
0.1,118,preHTC,485,3060,0.236051725893033,0.29121351652353,-0.055161790630497
0.2,113,EC,1210,332,0.149724216113645,0.211237615538061,-0.0615133994244158
0.2,113,FC,287,103,0.196846074245998,0.174967577012922,0.0218784972330763
0.2,113,HTC,1078,353,0.158108815870248,0.190829151752651,-0.0327203358824031
0.2,113,HomC,1441,268,0.182209795608099,0.160702259372338,0.0215075362357611
0.2,113,ProC,229,327,0.248782786424226,0.228107215170806,0.0206755712534208
0.2,113,RegC,454,74,0.15340416378918,0.170318664630543,-0.0169145008413627
0.2,113,preHTC,261,1087,0.28623476189421,0.277258533266428,0.00897622862778202
0.2,116,EC,738,66,0.184285139404121,0.287411198820843,-0.103126059416722
0.2,116,FC,83,685,0.168852422219369,0.219417179899686,-0.0505647576803173
0.2,116,HTC,695,83,0.170967478161858,0.342778222089656,-0.171810743927799
0.2,116,HomC,882,61,0.1685483915486,0.221545410033014,-0.052997018484414
0.2,116,ProC,79,223,0.304304462121787,0.427680194826414,-0.123375732704628
0.2,116,RegC,255,132,0.166332055309861,0.263513995422022,-0.0971819401121607
0.2,116,preHTC,296,1588,0.258965788563904,0.381677591877731,-0.122711803313826
0.2,118,EC,677,163,0.19776566050337,0.251536243010468,-0.0537705825070987
0.2,118,FC,199,56,0.162713704305636,0.180165479316014,-0.017451775010378
0.2,118,HTC,1143,259,0.183216661689659,0.207235034256818,-0.0240183725671587
0.2,118,HomC,907,117,0.198447867111488,0.172940074155928,0.0255077929555605
0.2,118,ProC,217,344,0.250776765148027,0.294641297947284,-0.043864532799257
0.2,118,RegC,124,40,0.20147265149627,0.207304094618272,-0.00583144312200198
0.2,118,preHTC,445,2922,0.244735903494936,0.29345489675873,-0.0487189932637939
