fold_donor,state,gene,fold_change
OA1,EC,CCDC160,58.2143689358198
OA1,EC,ANKRD1,29.7710205275235
OA1,EC,SPINK1,24.1202531668978
OA1,EC,KRT16P3,18.1689198806065
OA1,EC,C4orf26,9.89046172305424
OA1,EC,FAM170B,8.50192186546933
OA1,EC,TMEM156,7.73533575061614
OA1,EC,CLDN4,7.64610933836182
OA1,EC,SUV39H1,7.49245460626738
OA1,EC,BLM,7.2525015101933
OA1,EC,KRT16P1,6.91643974786972
OA1,EC,ODF3L1,6.63410021550725
OA1,EC,ALOX12P2,6.59567792195051
OA1,EC,MTBP,6.39683290614455
OA1,EC,DSC2,6.3881783562986
OA1,EC,LAMC2,6.348598027559
OA1,EC,TNFAIP8L3,6.08232898298631
OA1,EC,ADPRHL1,5.44265744591676
OA1,EC,CDC42EP2,5.43965360283522
OA1,EC,CCL7,5.3785829058202
OA1,EC,SPOCK3,5.34820975854391
OA1,EC,FRY-AS1,5.29833774280482
OA1,EC,RSPO3,5.20672708839147
OA1,EC,UBE2V1,5.03658747111539
OA1,EC,SPINK2,4.90678371224488
OA1,EC,RARA-AS1,4.62408991789962
OA1,EC,LINC01384,4.43109654466568
OA1,EC,FST,4.39103457435281
OA1,EC,NUP62CL,4.37670808072314
OA1,EC,FGD6,4.24226351714781
OA1,EC,WDR63,4.15714631471309
OA1,EC,FABP3,4.11810277820374
OA1,EC,BCYRN1,4.10377755389465
OA1,EC,ZNF563,4.03766128530568
OA1,EC,FOXA2,3.99807170060919
OA1,EC,ZBED9,3.99336438252483
OA1,EC,SLC14A2,3.98816386524514
OA1,EC,C5orf49,3.96579118714405
OA1,EC,PINX1,3.87530831151967
OA1,EC,ULBP1,3.85092965806268
OA1,EC,TMEM132C,3.79841376697811
OA1,EC,CHRDL2,3.77127762414212
OA1,EC,RCAN3,3.69525782157656
OA1,EC,TMPRSS4,3.68956281011222
OA1,EC,ZNF527,3.64658293353681
OA1,EC,CFAP58-AS1,3.60062427436404
OA1,EC,KIAA1211,3.45828413002794
OA1,EC,SERPINA6,3.4523942025508
OA1,EC,GBP1,3.45143487360148
OA1,EC,STARD13-AS,3.42298699462895
OA1,EC,P2RY2,3.40585545323424
OA1,EC,MB21D2,3.37929727869864
OA1,EC,FOXA3,3.3461863884241
OA1,EC,TRIB3,3.34135153617245
OA1,EC,NKILA,3.32709397635812
OA1,EC,CISH,3.32351811089894
OA1,EC,CAMTA2,3.29551686447364
OA1,EC,ITPKC,3.28416483096329
OA1,EC,RIBC1,3.27316776282231
OA1,EC,GIPR,3.26769614721209
OA1,EC,VIM-AS1,3.25951452870411
OA1,EC,ARC,3.25913857377245
OA1,EC,ITGA2,3.25881266260621
OA1,EC,GAS6-AS1,3.24866281608394
OA1,EC,FERMT1,3.24739613071263
OA1,EC,OXT,3.20927596528426
OA1,EC,WNT3,3.20886514358676
OA1,EC,C11orf91,3.2024767496689
OA1,EC,FADD,3.19160329276029
OA1,EC,AGR2,3.15758327284324
OA1,EC,DIRAS3,3.13850756522798
OA1,EC,TCEAL5,3.10383247207293
OA1,EC,TPM4,3.08106147706234
OA1,EC,CSDC2,3.05907096500565
OA1,EC,LINC00884,3.04804088133368
OA1,EC,NXPE4,3.03514678772499
OA1,EC,RELT,3.03062123048272
OA1,EC,GAL,3.03024734134421
OA1,EC,NDRG4,3.03023836405064
OA1,EC,FAM110C,3.01892674519692
OA1,EC,DNAJC22,3.01857792395715
OA1,EC,FICD,3.0085056703214
OA1,EC,FLJ41200,3.00335993655285
OA1,EC,LOC101928841,2.96592360476572
OA1,EC,MALL,2.94910554792194
OA1,EC,SFTPD,2.93642217419368
OA1,EC,CPAMD8,2.93561160330623
OA1,EC,KIAA0226L,2.92670164073327
OA1,EC,MLLT11,2.88189368025633
OA1,EC,CFAP126,2.88081498091643
OA1,EC,FRZB,2.87850503043418
OA1,EC,SDHA,2.87668601970384
OA1,EC,DHX57,2.85632272461541
OA1,EC,GZF1,2.85380222525012
OA1,EC,IPO5P1,2.85209494741205
OA1,EC,AGPAT9,2.84444613718519
OA1,EC,ZNF365,2.83733443045742
OA1,EC,ZNF670,2.83558154088969
OA1,EC,RHOD,2.83100324258156
OA1,EC,PEG3,2.82846407059724
OA1,FC,GIMAP4,206594.924186786
OA1,FC,ROBO4,181400.531303469
