gene,rho,P,FDR
COL2A1,0.135,2.01673930978486e-07,2.01673930978486e-07
SOX9,0.124,1.96471686073388e-06,1.96471686073388e-06
VEGFA,0.108,3.34430237620754e-05,3.34430237620754e-05
ANGPTL4,0.105,5.42606970985607e-05,5.42606970985607e-05
ACAN,0.101,0.000102999666698827,0.000102999666698827
ADAMTS5,0.083,0.00153027130178815,0.00153027130178815
PRG4,-0.08,0.00221689490297609,0.00221689490297609
TNF,-0.08,0.00219288956085527,0.00219288956085527
COL3A1,0.079,0.0023427767087869,0.0023427767087869
IL1B,-0.066,0.0111576423445223,0.0111576423445223
CDKN1A,0.062,0.0170955050425299,0.0170955050425299
MMP3,0.061,0.0187538183336003,0.0187538183336003
GLB1,0.059,0.0228991252018301,0.0228991252018301
RUNX2,-0.054,0.0382648158740663,0.0382648158740663
CXCL8,-0.05,0.054969602830242,0.054969602830242
CAMK2D,0.046,0.0765447982280663,0.0765447982280663
COL1A1,-0.042,0.106530638391546,0.106530638391546
MMP13,0.038,0.141046524037898,0.141046524037898
CCL2,-0.035,0.176555285031901,0.176555285031901
CXCL12,-0.033,0.207228734352273,0.207228734352273
CAV1,0.033,0.209105643978999,0.209105643978999
MMP1,0.025,0.339302675172444,0.339302675172444
IBSP,-0.022,0.408954796831497,0.408954796831497
SPP1,-0.015,0.563916406284951,0.563916406284951
CALM1,0.012,0.652187183670183,0.652187183670183
IL6,0.009,0.741112595889235,0.741112595889235
ALPL,0.008,0.757105856741926,0.757105856741926
CDKN2A,0.008,0.771978226174803,0.771978226174803
COL1A2,0.005,0.83806359109168,0.83806359109168
COL10A1,-0.004,0.874182644426721,0.874182644426721
