p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
3.13204280032414e-111,7.58499682580881,1,0,7.56482297562288e-107,PIEZO1
5.61600012308616e-10,0.610804442146652,1,0.988,1.356432509729e-05,ANKH
5.90974885002813e-10,0.562824370039495,0.965,0.959,1.42738163974729e-05,COL6A3
6.05409144004836e-09,0.669761854131519,0.882,0.763,0.000146224470551488,SIPA1L2
6.68173259807449e-09,0.774902817752345,0.912,0.88,0.000161383887441293,COL5A1
1.01900123592685e-08,0.540797330561108,0.998,0.996,0.000246119368513412,COL6A2
1.45977823455251e-08,0.518438656778472,0.79,0.548,0.000352580236991469,TMEM248
5.45702482216345e-08,0.882598764743837,0.996,1,0.00131803520529714,HTRA1
5.6657265178777e-08,0.459093297336349,1,1,0.001368442925863,COMP
1.5260219602463e-07,0.467212136833608,0.992,0.983,0.00368580084058289,COL6A1
3.28714757970472e-07,0.77575586426349,0.988,0.983,0.00793944754926081,CRTAC1
3.76797033218318e-07,0.607365671680356,0.642,0.436,0.00910077874332202,ERO1LB
3.91790600528208e-07,0.515402744764778,0.719,0.523,0.0094629183745578,IQSEC1
8.35074102038447e-07,0.564082754640713,0.931,0.88,0.0201695447865346,SRPX2
9.34372620949234e-07,1.68493062003944,0.22,0.075,0.0225679019137869,ADGRG1
1.00370493002779e-06,0.509856227380768,0.971,0.959,0.0242424851749613,CILP2
1.0986680802714e-06,0.715024226009432,0.67,0.494,0.0265361301427952,THBS3
1.18707514295558e-06,1.24191748035778,0.393,0.22,0.0286714259278062,FBXO33
1.59498011686307e-06,0.430995196177684,1,1,0.0385235547625937,SLC39A14
1.68298991662163e-06,-0.541332151691865,0.988,0.967,0.0406492554561623,FRZB
1.69251128687665e-06,0.430653348060864,1,1,0.0408792251119317,FN1
1.71776384813297e-06,0.936012063333155,0.468,0.278,0.0414891502239556,SYNJ2BP
1.78436452607634e-06,0.450557898914542,0.76,0.602,0.0430977563983217,ADSS
1.8910461778556e-06,0.594794005242969,1,1,0.0456744383337463,COL2A1
1.93230260515325e-06,0.744323097920772,0.688,0.539,0.0466709048222664,STEAP3
2.42415685831285e-06,0.923786358620784,0.585,0.427,0.0585506605988302,CAPS
2.62137518722347e-06,0.605471566832329,0.888,0.834,0.0633140748970085,USP12
2.69883393370836e-06,0.862153476977148,0.517,0.349,0.0651849360008579,TEAD1
2.72315910437e-06,0.485276983603851,0.916,0.817,0.0657724618478486,NFIL3
2.96497232202717e-06,0.305079171373681,1,1,0.0716129764939221,RPS2
3.36304915467519e-06,0.868310635828182,0.458,0.282,0.0812277262328699,MBD2
3.60295798061863e-06,0.514919601678308,1,0.971,0.0870222441058818,PMEPA1
3.69079039833262e-06,0.753738513324643,0.829,0.768,0.0891436604909278,OGT
4.45013991898499e-06,0.527111275562716,0.78,0.635,0.107484229463245,FAM134B
4.50401308487489e-06,1.08315159308339,0.43,0.274,0.108785428038983,GALNT16
5.00397746519565e-06,0.298435398412426,1,1,0.120861067716871,BGN
5.19475096232703e-06,0.421296736860774,0.676,0.49,0.125468819993085,ANKLE2
6.46390723140843e-06,1.09740352225689,0.515,0.382,0.156122751360208,PXDN
6.70454033976929e-06,0.527895332285713,0.754,0.589,0.161934762826448,PDLIM7
6.77836104864928e-06,0.795846003660406,0.747,0.643,0.163717754408026,RB1CC1
6.93736840789693e-06,0.358038262499349,0.76,0.631,0.167558259155935,ADGRG2
7.29516369788872e-06,0.589205295736585,0.652,0.477,0.176200088795106,RAP1A
7.32895661585468e-06,0.860746433049544,0.552,0.398,0.177016289142738,KRR1
7.77623866735071e-06,0.680838901145134,0.556,0.382,0.187819492532522,CCNY
8.43630050598666e-06,0.59673734141792,0.988,0.959,0.203761966121096,NFATC2
9.48397677632709e-06,1.53871204714334,0.193,0.066,0.229066491078628,FGD5
9.63395564194965e-06,0.802326577700844,0.723,0.577,0.23268893062001,ANK3
1.00087409235105e-05,0.678196649141247,0.849,0.763,0.24174111952555,ASAP2
1.00239765647119e-05,0.680599006013845,0.701,0.556,0.242109105967487,ZSWIM6
1.01986777362784e-05,0.694821602743184,0.904,0.896,0.246328663364333,CDON
1.05487463758188e-05,1.02808766129306,0.464,0.32,0.254783871215151,KREMEN1
1.26098994798191e-05,0.641610914210314,0.678,0.502,0.30456690213607,MAN1A2
1.32343752418816e-05,0.876146222578694,0.67,0.552,0.319649865217167,DNER
1.33743565122829e-05,0.657961298603108,0.454,0.274,0.323030832841169,PDDC1
