patient,s_idx,mean_pz,frac_detect
OA10,0,0.309206020839024,57.7
OA2,0,0.349837183485124,57.7
OA3,0,0.362398978292549,61.3
OA4,0,0.366041436991814,73.3
OA5,0,0.321622379827302,51.6
OA6,0,0.252952454206227,46.7
OA7,0,0.321576044042238,63.3
OA8,0,0.346415327415111,48.1
OA9,0,0.270678315650366,53.1
OA1,1,0.436991004047826,61.3
OA10,1,0.362169583250628,55.2
OA2,1,0.399342173548567,46.7
OA3,1,0.305817505309741,56.2
OA4,1,0.369255892246814,53.1
OA5,1,0.390556793951419,60.7
OA6,1,0.111055080162825,32.3
OA7,1,0.235644925590322,50
OA8,1,0.270938619210818,51.7
OA9,1,0.299807280325034,45.2
OA1,2,0.486918278434382,73.3
OA10,2,0.220423607597332,38.7
OA2,2,0.545126369524767,89.7
OA3,2,0.261361479827582,59.4
OA4,2,0.396880673461615,65.6
OA5,2,0.404672922916593,64.5
OA6,2,0.269391237367527,58.6
OA7,2,0.314606322204059,66.7
OA8,2,0.21205175278766,54.8
OA9,2,0.16058011496731,45.2
OA1,3,0.502654688974292,70
OA10,3,0.258166976237492,36.7
OA2,3,0.507153005251238,80
OA3,3,0.281515957710434,82.8
OA4,3,0.377063262857767,75
OA5,3,0.282649246295862,53.8
OA6,3,0.211332685480214,64.5
OA7,3,0.523148951267416,83.9
OA8,3,0.415009732450001,83.9
OA9,3,0.327808177940492,58.1
OA1,4,0.469614711814282,70
OA10,4,0.361392612360122,78.1
OA2,4,0.43520644965362,73.3
OA3,4,0.110741128073064,29
OA4,4,0.118909596707587,41.4
OA5,4,0.290207750001685,62.5
OA6,4,0.289170380364646,68.8
OA7,4,0.136831528830482,35.5
OA8,4,0.337979807148489,51.7
OA9,4,0.397330260738339,86.2
