p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.00245695176005667,3.40084320435065,0.035,0.005,1,ProC,PLAC8L1
0.000780822819252682,3.1707744064041,0.187,0.085,1,ProC,DCLK1
7.96996562282614e-05,2.80583104801086,0.553,0.442,1,ProC,S100A2
0.000195835121648459,2.69142386714566,0.519,0.392,1,ProC,TAC1
0.00625070848294597,2.68850329670005,0.061,0.02,1,ProC,PRKCA-AS1
0.00305488540592196,5.26029585362468,0.043,0.004,1,HomC,SNORA80B
0.00681409228212343,4.59433158333637,0.049,0.008,1,HomC,SLC10A1
3.15979727876017e-06,4.37170615904978,0.198,0.041,0.0763185836738943,HomC,CCNE1
0.00238334018445961,4.29959127832515,0.08,0.01,1,HomC,CATIP
4.33204891417672e-06,4.27546858179146,0.309,0.12,0.10463197742411,HomC,PLEKHG2
7.1054389332327e-05,6.72048595465068,0.115,0.007,1,HTC,ROPN1
0.000935041682485049,6.598567971011,0.054,0.001,1,HTC,UMODL1-AS1
6.44533448281368e-06,6.04442874425546,0.185,0.054,0.155674163763399,HTC,MATN4
9.49012357005088e-12,5.94904558385235,0.546,0.22,2.29214954587439e-07,HTC,HSPA7
1.73030426259107e-05,5.74514951303646,0.138,0.045,0.417920388543622,HTC,CAPN6
0.00167707210492806,9.5271807736405,0.048,0.001,1,RegC,RETN
5.20291191025597e-05,8.11477007412639,0.127,0.034,1,RegC,S100A8
0.000239211556303371,7.9148552839332,0.103,0.015,1,RegC,LTF
0.000268173103426466,7.84057827451207,0.079,0.01,1,RegC,MZB1
0.00407392621588345,7.01938292665189,0.188,0.11,1,RegC,IL1B
0.00164955071777941,4.22084888253583,0.096,0.027,1,preHTC,LY6D
6.38799873681423e-09,4.03597443978101,0.562,0.323,0.000154289333490274,preHTC,PRG4
0.00619932203024403,3.88557737572465,0.068,0.015,1,preHTC,CLDN10
1.2181857282969e-29,3.72996140483391,0.904,0.569,2.9422839895555e-25,preHTC,TNFAIP6
2.71547558843778e-14,3.54950757070986,0.36,0.061,6.55868818875378e-10,preHTC,TREM1
1.89706054630537e-08,11.699723195178,0.231,0.008,0.000458197033749135,FC,ACKR1
0.000118492984533426,10.3099524035217,0.096,0.003,1,FC,GIMAP7
1.52703821104228e-05,9.35988179836676,0.115,0.002,0.368825539113043,FC,CD34
1.95691898630403e-06,8.92692264513231,0.154,0.005,0.0472654642762013,FC,EDN1
6.3812426339119e-12,8.49224981770952,0.385,0.042,1.54126153336874e-07,FC,SFRP2
0.00635463326271002,4.70539892468011,0.051,0.024,1,EC,ANKRD1
0.000197739075751436,4.40636261349762,0.206,0.067,1,EC,SPINK1
0.0012240093517925,3.77384445026786,0.07,0.02,1,EC,KRT16P3
0.00245695176005667,3.3549558193782,0.047,0.003,1,EC,TTR
0.00203853933719307,3.01768625100972,0.06,0.01,1,EC,RIBC2
