outcome,n_snp,method,estimate,se,p,Q,p_het
"OA (overall, M13_ARTHROSIS)",5,IVW (RE),0.01941804957117,0.151002041760446,0.897678426767236,6.44362769139867,0.168377130884857
"OA (overall, M13_ARTHROSIS)",5,Weighted median,-0.060991282799818,0.0361600089386698,0.0916600107994228,,
"OA (overall, M13_ARTHROSIS)",5,MR-Egger slope,-0.0144842567240984,0.0595969073071102,0.807976693611746,,
"OA (overall, M13_ARTHROSIS)",5,MR-Egger intercept,-0.00908185590092167,0.0595969073071102,0.878880889524607,,
Knee OA (gonarthrosis),5,IVW (RE),-0.0206224987886345,0.137553330932068,0.880824844879996,5.06627720441559,0.280564396210692
Knee OA (gonarthrosis),5,Weighted median,-0.0675034119905526,0.0442278025371504,0.126943515833174,,
Knee OA (gonarthrosis),5,MR-Egger slope,-0.0436741699090529,0.0719098507582864,0.543621227497632,,
Knee OA (gonarthrosis),5,MR-Egger intercept,-0.00432553562491672,0.0719098507582864,0.952034416713501,,
Hip OA (coxarthrosis),5,IVW (RE),-0.0215974921033034,0.0573030998777861,0.706248521134048,3.36353470113977,0.498929081672821
Hip OA (coxarthrosis),5,Weighted median,-0.0398608266503083,0.0592983510912847,0.501451281663861,,
Hip OA (coxarthrosis),5,MR-Egger slope,0.058611920855859,0.0347450192744382,0.0916195497689944,,
Hip OA (coxarthrosis),5,MR-Egger intercept,-0.0189247261774157,0.0347450192744382,0.585977402420349,,
