patient,EC,FC,HTC,HomC,ProC,RegC,preHTC
OA1,,1.1679,0.4277,0.2984,0.5489,0.5005,0.4433
OA10,0.2791,,0,0.3994,0.2833,0.4152,0.3166
OA2,0.2292,,0.4676,0.5086,0.459,0.4808,0.3232
OA3,0.3438,0.1107,0,0.2412,,0.1627,0.3361
OA4,0.4042,0.3816,0.1336,0.2636,0.3147,0.3361,0.2799
OA5,0.2455,0.1076,0.2534,0.2678,0.1877,0.5078,0.4466
OA6,0.2068,0,0.4245,0.1935,0.2515,0.1646,0.2356
OA7,0.2071,0,0.1368,0.2122,0.4497,0.4561,0.4088
OA8,0.3981,,0.2818,0.2634,0.2818,0.2617,0.6904
OA9,0.3478,0.2611,0.409,0.305,0.2843,0.2185,0.3257
