gene,F,P.Value,adj.P.Val
PODN,316.704913330774,2.30290526013308e-31,5.56220707479942e-27
ACE,198.115511024154,1.60430853701651e-27,1.93744320472799e-23
OR7E2P,138.672457457418,1.22152435672828e-24,8.01908051283225e-21
OAS1,138.04552993766,1.32804711842541e-24,8.01908051283225e-21
MFAP5,84.4161482182915,1.01949197290212e-20,4.92475792430096e-17
RTN4RL2,83.4410805169579,1.25486544088374e-20,5.05146083227748e-17
SCRG1,70.8659212039826,2.27931100790568e-19,7.8645998248494e-16
ACAN,64.3406899104005,1.24077865164754e-18,3.33902916494292e-15
UAP1,64.3305301637366,1.24420413548985e-18,3.33902916494292e-15
FRZB,59.5163287414948,4.81136662169316e-18,1.16208938013755e-14
LTK,47.6362813352828,2.16373486756474e-16,4.75097165966283e-13
NR4A2,46.9296927574295,2.78295660520043e-16,5.60139590711716e-13
SPINT2,46.074703870881,3.79040124411968e-16,7.0422739422479e-13
EGR1,43.4754840710493,1.00046582256714e-15,1.72601792946173e-12
TRA2B,41.9922828335896,1.78036867338929e-15,2.86674963789143e-12
CKS2,41.4552040199114,2.20297289830088e-15,3.32552527579133e-12
S100B,41.2359459884972,2.40471864064272e-15,3.41653937220257e-12
FGF2,40.805833503536,2.85902270172463e-15,3.83633196193083e-12
FOS,39.7740939795457,4.35778363458895e-15,5.51847580175588e-12
S100A11,39.6593073901664,4.5695986434446e-15,5.51847580175588e-12
PPP1R10,39.4797382651495,4.92294217022641e-15,5.66208677321326e-12
CD55,39.0072321538906,5.99702579502038e-15,6.5839165466876e-12
UGDH,37.9900079972129,9.23552063312617e-15,9.69850129790854e-12
C2orf82,37.543933582289,1.1195050751347e-14,1.12664191998869e-11
CCNL1,36.8026172614078,1.54793630912778e-14,1.49549222697453e-11
C11orf96,36.6673974286804,1.64314904575596e-14,1.4960547685294e-11
SRSF7,36.6275051551521,1.67240006418639e-14,1.4960547685294e-11
ACTB,36.1728822517756,2.04722892667323e-14,1.76595429521209e-11
