c_scale,outcome,ivw_beta,ivw_se,z,p
0.6,"OA (overall, M13_ARTHROSIS)",-0.0872485862688458,0.059310325421774,-1.47105222654562,0.141276993364445
0.6,Knee OA (gonarthrosis),-0.102888485687755,0.0718036619898662,-1.43291418343365,0.151882363419188
0.6,Hip OA (coxarthrosis),-0.0339640951139977,0.0953866589347133,-0.356067562207459,0.721789968934779
0.8,"OA (overall, M13_ARTHROSIS)",-0.0654364397016343,0.0444827440663305,-1.47105222654562,0.141276993364446
0.8,Knee OA (gonarthrosis),-0.0771663642658164,0.0538527464923997,-1.43291418343365,0.151882363419188
0.8,Hip OA (coxarthrosis),-0.0254730713354983,0.0715399942010349,-0.356067562207459,0.721789968934779
1,"OA (overall, M13_ARTHROSIS)",-0.0523491517613075,0.0355861952530644,-1.47105222654562,0.141276993364445
1,Knee OA (gonarthrosis),-0.0617330914126532,0.0430821971939197,-1.43291418343365,0.151882363419188
1,Hip OA (coxarthrosis),-0.0203784570683986,0.057231995360828,-0.356067562207459,0.721789968934779
1.25,"OA (overall, M13_ARTHROSIS)",-0.041879321409046,0.0284689562024515,-1.47105222654562,0.141276993364445
1.25,Knee OA (gonarthrosis),-0.0493864731301225,0.0344657577551358,-1.43291418343365,0.151882363419188
1.25,Hip OA (coxarthrosis),-0.0163027656547189,0.0457855962886624,-0.356067562207459,0.721789968934779
1.67,"OA (overall, M13_ARTHROSIS)",-0.0313467974618608,0.0213090989539308,-1.47105222654562,0.141276993364445
1.67,Knee OA (gonarthrosis),-0.0369659230015887,0.0257977228706106,-1.43291418343365,0.151882363419188
1.67,Hip OA (coxarthrosis),-0.0122026689032327,0.0342706559046874,-0.356067562207459,0.721789968934779
