dataset,layer,programme,delta,t,p,p_adj_within_layer
GSE51588(LT-MT),L0_raw_sum1,EC,0.0223383937930517,2.29489511945568,0.0307854995869124,0.0430996994216774
GSE51588(LT-MT),L0_raw_sum1,FC,0.0100780494413535,0.947665919751129,0.352744682940355,0.352744682940355
GSE51588(LT-MT),L0_raw_sum1,HomC,0.0355965489733497,4.02555389097007,0.000493950074264238,0.00172882525992483
GSE51588(LT-MT),L0_raw_sum1,HTC,-0.0112484541265849,-1.05210240975024,0.303230898710945,0.352744682940355
GSE51588(LT-MT),L0_raw_sum1,preHTC,-0.0612439400307382,-4.13279161345064,0.000376509729068025,0.00172882525992483
GSE51588(LT-MT),L0_raw_sum1,ProC,-0.0401233418724224,-3.2098208311037,0.00375041305262952,0.00875096378946889
GSE51588(LT-MT),L0_raw_sum1,RegC,0.0446027438219906,2.91023881761367,0.00767317200546309,0.0134280510095604
GSE51588(LT-MT),L1_CLR_msr_0.5min,EC,0.0771731901442535,1.01937279369304,0.31819245440681,0.371224530141278
GSE51588(LT-MT),L1_CLR_msr_0.5min,FC,0.04850738937159,0.572754417757872,0.572138396505919,0.572138396505919
GSE51588(LT-MT),L1_CLR_msr_0.5min,HomC,0.18040894769839,2.71824337875433,0.0119937439975602,0.0279854026609738
GSE51588(LT-MT),L1_CLR_msr_0.5min,HTC,-0.179089871301699,-2.06397842042269,0.0499918198907498,0.0699885478470497
GSE51588(LT-MT),L1_CLR_msr_0.5min,preHTC,-0.50415663462856,-4.93252572040239,4.93249854183541e-05,0.000345274897928479
GSE51588(LT-MT),L1_CLR_msr_0.5min,ProC,-0.282122049781607,-2.07650133413719,0.0487237376417257,0.0699885478470497
GSE51588(LT-MT),L1_CLR_msr_0.5min,RegC,0.659279028497633,3.10758136685183,0.00479938668050383,0.0167978533817634
GSE51588(LT-MT),L1_CLR_add_1e-3,EC,0.0574726151971722,0.820431048063826,0.420044849125796,0.490052323980096
GSE51588(LT-MT),L1_CLR_add_1e-3,FC,0.0269303348300248,0.320488533125989,0.751371819036993,0.751371819036993
GSE51588(LT-MT),L1_CLR_add_1e-3,HomC,0.159882153602008,2.06433824852577,0.0499549767110041,0.0699369673954058
GSE51588(LT-MT),L1_CLR_add_1e-3,HTC,-0.196680267852942,-2.19367797607406,0.0381821664050452,0.0699369673954058
GSE51588(LT-MT),L1_CLR_add_1e-3,preHTC,-0.519292132152817,-5.69538937068472,7.23868257336449e-06,5.06707780135515e-05
GSE51588(LT-MT),L1_CLR_add_1e-3,ProC,-0.30217886301568,-2.1550610384684,0.0414041359519978,0.0699369673954058
GSE51588(LT-MT),L1_CLR_add_1e-3,RegC,0.773866159392233,3.31560577139316,0.00289928789647335,0.0101475076376567
GSE51588(LT-MT),L1_CLR_add_1e-2,EC,0.0812377860498292,1.24272345173095,0.225974921027956,0.263637407865949
GSE51588(LT-MT),L1_CLR_add_1e-2,FC,0.0405850428170307,0.554708057994007,0.584227434225535,0.584227434225535
GSE51588(LT-MT),L1_CLR_add_1e-2,HomC,0.176780742698809,2.7238195343713,0.0118409588768512,0.027628904045986
GSE51588(LT-MT),L1_CLR_add_1e-2,HTC,-0.155484290868278,-2.01731396382389,0.0549797916591407,0.0769717083227969
GSE51588(LT-MT),L1_CLR_add_1e-2,preHTC,-0.457838669272133,-5.23011238449947,2.32307852203903e-05,0.000162615496542732
