dataset,layer,programme,delta,t,p,p_adj_within_layer
GSE51588(LT-MT),L0_raw_sum1,HomC,0.0355965489733497,4.02555389097007,0.000493950074264238,0.00172882525992483
GSE51588(LT-MT),L0_raw_sum1,preHTC,-0.0612439400307382,-4.13279161345064,0.000376509729068025,0.00172882525992483
GSE51588(LT-MT),L1_CLR_msr_0.5min,HomC,0.18040894769839,2.71824337875433,0.0119937439975602,0.0279854026609738
GSE51588(LT-MT),L1_CLR_msr_0.5min,preHTC,-0.50415663462856,-4.93252572040239,4.93249854183541e-05,0.000345274897928479
GSE51588(LT-MT),L1_CLR_add_1e-3,HomC,0.159882153602008,2.06433824852577,0.0499549767110041,0.0699369673954058
GSE51588(LT-MT),L1_CLR_add_1e-3,preHTC,-0.519292132152817,-5.69538937068472,7.23868257336449e-06,5.06707780135515e-05
GSE51588(LT-MT),L1_CLR_add_1e-2,HomC,0.176780742698809,2.7238195343713,0.0118409588768512,0.027628904045986
GSE51588(LT-MT),L1_CLR_add_1e-2,preHTC,-0.457838669272133,-5.23011238449947,2.32307852203903e-05,0.000162615496542732
GSE51588(LT-MT),L2_ALR_ref_EC,HomC,0.103235757554136,0.903797861781397,0.375085525070365,0.450102630084437
GSE51588(LT-MT),L2_ALR_ref_EC,preHTC,-0.581329824772814,-5.27173259842612,2.09167388067429e-05,0.000125500432840457
GSE51588(LT-MT),L2_ALR_ref_FC,HomC,0.1319015583268,1.20749634845008,0.239006746544334,0.286808095853201
GSE51588(LT-MT),L2_ALR_ref_FC,preHTC,-0.55266402400015,-4.07317673968533,0.000437882207505018,0.00262729324503011
GSE51588(LT-MT),L2_ALR_ref_HomC,preHTC,-0.68456558232695,-4.73251464462695,8.19789299874844e-05,0.000491873579924906
GSE51588(LT-MT),L2_ALR_ref_HTC,HomC,0.359498819000088,3.55990547871684,0.00158820964609077,0.00952925787654465
GSE51588(LT-MT),L2_ALR_ref_HTC,preHTC,-0.325066763326861,-2.74992733050761,0.0111496996423389,0.0167245494635083
GSE51588(LT-MT),L2_ALR_ref_preHTC,HomC,0.68456558232695,4.73251464462695,8.19789299874844e-05,0.000245936789962453
GSE51588(LT-MT),L2_ALR_ref_ProC,HomC,0.462530997479997,3.40759858683344,0.00231395923425232,0.0138837554055139
