dataset,layer,quantity,delta,family
GSE51588 bone (LT - MT),L0_raw_sum1,HomC minus preHTC contrast,0.0968404890040879,Raw
GSE57218 cartilage (preserved - OA),L0_raw_sum1,HomC minus preHTC contrast,0.149487553977474,Raw
GSE51588 bone (LT - MT),L1_CLR_add_1e-2,HomC minus preHTC contrast,0.634619411970942,CLR
GSE57218 cartilage (preserved - OA),L1_CLR_add_1e-2,HomC minus preHTC contrast,1.03385933073889,CLR
GSE51588 bone (LT - MT),L1_CLR_add_1e-3,HomC minus preHTC contrast,0.679174285754825,CLR
GSE57218 cartilage (preserved - OA),L1_CLR_add_1e-3,HomC minus preHTC contrast,1.18514582824567,CLR
GSE51588 bone (LT - MT),L1_CLR_msr_0.5min,HomC minus preHTC contrast,0.68456558232695,CLR
GSE57218 cartilage (preserved - OA),L1_CLR_msr_0.5min,HomC minus preHTC contrast,1.34393024868092,CLR
GSE51588 bone (LT - MT),L2_ALR_ref_EC,HomC minus preHTC contrast,0.68456558232695,ALR
GSE57218 cartilage (preserved - OA),L2_ALR_ref_EC,HomC minus preHTC contrast,1.34393024868091,ALR
GSE51588 bone (LT - MT),L2_ALR_ref_FC,HomC minus preHTC contrast,0.68456558232695,ALR
GSE57218 cartilage (preserved - OA),L2_ALR_ref_FC,HomC minus preHTC contrast,1.34393024868091,ALR
GSE51588 bone (LT - MT),L2_ALR_ref_HTC,HomC minus preHTC contrast,0.684565582326949,ALR
GSE57218 cartilage (preserved - OA),L2_ALR_ref_HTC,HomC minus preHTC contrast,1.34393024868091,ALR
GSE51588 bone (LT - MT),L2_ALR_ref_HomC,HomC minus preHTC contrast,0.68456558232695,ALR
GSE57218 cartilage (preserved - OA),L2_ALR_ref_HomC,HomC minus preHTC contrast,1.34393024868091,ALR
GSE51588 bone (LT - MT),L2_ALR_ref_ProC,HomC minus preHTC contrast,0.68456558232695,ALR
GSE57218 cartilage (preserved - OA),L2_ALR_ref_ProC,HomC minus preHTC contrast,1.34393024868091,ALR
GSE51588 bone (LT - MT),L2_ALR_ref_RegC,HomC minus preHTC contrast,0.684565582326946,ALR
GSE57218 cartilage (preserved - OA),L2_ALR_ref_RegC,HomC minus preHTC contrast,1.34393024868091,ALR
GSE51588 bone (LT - MT),L2_ALR_ref_preHTC,HomC minus preHTC contrast,0.68456558232695,ALR
GSE57218 cartilage (preserved - OA),L2_ALR_ref_preHTC,HomC minus preHTC contrast,1.34393024868091,ALR
GSE51588 bone (LT - MT),L3_logratio_HomC_over_preHTC,HomC minus preHTC contrast,0.68456558232695,Pairwise
GSE57218 cartilage (preserved - OA),L3_logratio_HomC_over_preHTC,HomC minus preHTC contrast,1.34393024868091,Pairwise
GSE51588 bone (LT - MT),L4_unclosed_gs_score,HomC minus preHTC contrast,0.355372613495074,Unclosed GS
GSE57218 cartilage (preserved - OA),L4_unclosed_gs_score,HomC minus preHTC contrast,0.550455728618095,Unclosed GS
