cell,patient,subtype,axis_score,PIEZO1,quartile
OA1_S1.1,OA1,ProC,-1.17462755097967,1.04511228153336,Q1
OA1_S1.2,OA1,HomC,0.163430015532017,0,middle
OA1_S1.3,OA1,ProC,-1.65118473176358,0.411957720894375,Q1
OA1_S1.4,OA1,ProC,-0.76153230335268,0,middle
OA1_S1.5,OA1,ProC,-1.67757427537003,1.50313245066147,Q1
OA1_S1.6,OA1,ProC,-0.816834714129782,0.0688076559596619,middle
OA1_S1.7,OA1,ProC,-0.322074990462002,0,middle
OA1_S1.8,OA1,ProC,1.0196010999427,0,Q4
OA1_S1.9,OA1,ProC,-0.512746780113932,0.785431811466821,middle
OA1_S1.10,OA1,ProC,-0.873880906199571,0.0276153849335255,Q1
OA1_S1.11,OA1,ProC,-1.3246189724752,0,Q1
OA1_S1.12,OA1,HomC,-1.39286780758688,0,Q1
OA1_S1.13,OA1,ProC,-0.846068205837874,0.616731632962616,middle
OA1_S1.14,OA1,HTC,-1.90926773571775,0,Q1
OA1_S1.15,OA1,HTC,-1.69125929834454,0,Q1
OA1_S1.16,OA1,HomC,-1.11836267272252,0,Q1
OA1_S1.18,OA1,ProC,-1.12153955611012,0.770865977376234,Q1
OA1_S1.19,OA1,ProC,-1.404014827152,0.0710480592036715,Q1
OA1_S1.20,OA1,RegC,-0.0159328951727395,0,middle
OA1_S1.21,OA1,HTC,-0.865481225045774,1.12085080460215,middle
OA1_S1.22,OA1,HTC,-2.23413799678222,0.330454290926915,Q1
OA1_S1.23,OA1,ProC,-1.7458337059716,0.641438675386097,Q1
OA1_S1.24,OA1,ProC,-1.34007726598257,0.472812117519793,Q1
OA1_S1.25,OA1,ProC,-0.317062196474844,0.879286778099877,middle
OA1_S1.26,OA1,ProC,-1.51998992561982,1.51699889431671,Q1
OA1_S1.27,OA1,ProC,-1.31522046775512,1.11426842772233,Q1
OA1_S1.28,OA1,HomC,0.210469240968509,0,middle
OA1_S1.29,OA1,ProC,-0.345596473898267,0,middle
OA1_S1.30,OA1,ProC,0.0808777691843816,0.17305571392637,middle
OA1_S1.31,OA1,HomC,-1.05353664750089,0.871750441306482,Q1
OA1_S1.32,OA1,ProC,-0.943709609500624,1.12510200668413,Q1
OA1_S2.1,OA1,HomC,2.82920721569383,0,Q4
OA1_S2.2,OA1,RegC,1.04609050175171,0.708074356817362,Q4
OA1_S2.3,OA1,ProC,0.263470388818273,0.258439551565126,middle
OA1_S2.4,OA1,preHTC,1.93249269922885,0.0448350798044208,Q4
OA1_S2.5,OA1,ProC,3.34311618223796,0.329040709313971,Q4
OA1_S2.6,OA1,ProC,0.837801386716615,0.0634682424105732,Q4
OA1_S2.7,OA1,ProC,1.9312080620352,0.284340592408044,Q4
OA1_S2.8,OA1,RegC,-0.230637189304769,1.38521124859852,middle
OA1_S2.9,OA1,HomC,1.23189435890806,0.86406928535339,Q4
OA1_S2.10,OA1,preHTC,1.80391156150367,0.0296293391088819,Q4
OA1_S2.11,OA1,HTC,0.617472809928756,1.11486297294037,middle
OA1_S2.13,OA1,HomC,4.422938168734,0,Q4
OA1_S2.14,OA1,RegC,1.4132207139854,0,Q4
OA1_S2.15,OA1,HomC,0.925904056490373,0.0271564701854054,Q4
OA1_S2.16,OA1,ProC,1.35754232757774,0.553688240509066,Q4
OA1_S2.17,OA1,ProC,0.343360213426713,1.31897064904149,middle
OA1_S2.18,OA1,ProC,3.58872470726274,0,Q4
OA1_S2.19,OA1,ProC,0.581086597118714,0.709636860201611,middle
OA1_S2.20,OA1,ProC,-0.41429025328583,1.03607996223999,middle
OA1_S2.21,OA1,preHTC,1.1696370679504,0.753586555931921,Q4
OA1_S2.22,OA1,ProC,0.827987159517138,0.0894381225702034,middle
OA1_S2.23,OA1,RegC,0.542302111129731,1.00570057350217,middle
OA1_S2.24,OA1,RegC,0.539544336162737,0.84465518884126,middle
OA1_S2.25,OA1,HomC,4.58711130509182,0,Q4
OA1_S2.27,OA1,HomC,1.58192876764769,0,Q4
OA1_S2.28,OA1,HTC,-0.380227608107618,0,middle
OA1_S2.29,OA1,HomC,3.03375400975378,1.00941913480828,Q4
OA1_S2.30,OA1,ProC,3.41411511877267,0,Q4
OA1_S2.31,OA1,ProC,0.938908835998908,1.35416176047413,Q4
OA1_S2.32,OA1,ProC,-0.403997022962574,0.823083456405296,middle
OA1_S3.1,OA1,ProC,-1.33695165828056,1.18969008155034,Q1
OA1_S3.2,OA1,ProC,-0.781485097788052,0,middle
OA1_S3.4,OA1,ProC,-0.284134703595111,0.866861852231846,middle
OA1_S3.7,OA1,ProC,-1.73492292819838,0.748092673448243,Q1
OA1_S3.9,OA1,HomC,-0.811954497228757,0,middle
OA1_S3.10,OA1,preHTC,0.608784520672467,0,middle
OA1_S3.11,OA1,ProC,0.922701001348437,0.139867021447257,Q4
OA1_S3.12,OA1,HomC,-1.03171551028516,0,Q1
OA1_S3.14,OA1,HomC,-1.686559896863,0.0586575211961803,Q1
OA1_S3.15,OA1,ProC,-1.25939609976357,0.0806082155805409,Q1
OA1_S3.17,OA1,preHTC,0.207131241148615,0.666802738033824,middle
OA1_S3.18,OA1,preHTC,1.08885676798098,0,Q4
OA1_S3.19,OA1,preHTC,-0.111112325369782,0.357955106357055,middle
OA1_S3.21,OA1,ProC,0.1189534541727,0.264893553298932,middle
OA1_S3.24,OA1,ProC,-1.35791954236191,1.37671512023439,Q1
OA1_S3.26,OA1,ProC,-0.32643035929109,0.581082730582116,middle
OA1_S3.27,OA1,ProC,-0.343071100072747,1.64948728600492,middle
OA1_S3.30,OA1,preHTC,-1.74373479429304,1.27364906214212,Q1
OA1_S3.31,OA1,ProC,-0.626825582733564,0.798730817378072,middle
OA1_S3.32,OA1,ProC,-0.0835172929959941,0,middle
OA1_S4.1,OA1,ProC,0.0920429249168357,0,middle
OA1_S4.3,OA1,HomC,0.702761054223561,0.568213544549532,middle
OA1_S4.4,OA1,ProC,0.160470802590066,0.0312824622307656,middle
OA1_S4.5,OA1,preHTC,-0.67094441609472,0,middle
OA1_S4.6,OA1,HomC,-1.2070089507548,0.867329005399002,Q1
OA1_S4.7,OA1,FC,0.658943237630755,1.16788041874699,middle
OA1_S4.8,OA1,ProC,-0.349959310910403,0.489328292180208,middle
OA1_S4.9,OA1,RegC,-0.101453936165258,0,middle
OA1_S4.10,OA1,RegC,-0.339371732746462,0.0603492245358207,middle
OA1_S4.11,OA1,HomC,-0.644255893645027,1.71623781650098,middle
OA1_S4.12,OA1,ProC,-0.269987715380523,0,middle
OA1_S4.13,OA1,ProC,-0.810343454337791,0.867555870919343,middle
OA1_S4.14,OA1,preHTC,0.0432689430470083,0,middle
OA1_S4.15,OA1,preHTC,-0.17626963949805,0.940168282948946,middle
OA1_S4.16,OA1,ProC,-0.00755186094028004,1.38479405448653,middle
OA1_S4.17,OA1,HomC,1.22042422573986,0,Q4
OA1_S4.18,OA1,HomC,-0.744527768077129,0.406951164408465,middle
OA1_S4.19,OA1,HomC,0.394008969875944,0,middle
OA1_S4.20,OA1,HomC,-1.26000934537964,0.0302709454310588,Q1
OA1_S4.21,OA1,HomC,-0.038043889355016,0,middle
OA1_S4.22,OA1,ProC,-0.471330817885701,0.655855665994366,middle
OA1_S4.23,OA1,ProC,-0.815468673660955,0.2610176254659,middle
OA1_S4.25,OA1,preHTC,1.00510686041311,0.381591096231843,Q4
OA1_S4.26,OA1,HomC,1.6843495900777,0.794005017503499,Q4
OA1_S4.27,OA1,ProC,-0.620599212953065,0.353461047366728,middle
OA1_S4.28,OA1,HomC,1.02872074244067,0.735866822671259,Q4
OA1_S4.29,OA1,HomC,0.87091609718189,0,Q4
OA1_S4.30,OA1,HomC,1.18611365974949,0.107393479812795,Q4
OA1_S4.31,OA1,ProC,0.0164039507626637,0.954326438995254,middle
OA1_S4.32,OA1,preHTC,0.117675149141318,1.31456307804919,middle
OA2_S0.1,OA2,HomC,0.454599268623137,0,Q4
OA2_S0.2,OA2,RegC,0.62537036927365,0.755211212986927,Q4
OA2_S0.3,OA2,HomC,0.262016545110855,0.682915653129323,middle
OA2_S0.4,OA2,RegC,0.76665871717535,0,Q4
OA2_S0.6,OA2,HTC,-2.2181060833946,0.225646428399781,Q1
