outcome,model,beta,se,p,outcome_short
"OA (overall, M13_ARTHROSIS)",Fixed effect,-0.027300165290345,0.0197033303642433,0.165881006808663,Overall OA
"OA (overall, M13_ARTHROSIS)",Multiplicative random effects,-0.027300165290345,0.0263227483843237,0.299674332746699,Overall OA
"OA (overall, M13_ARTHROSIS)",DerSimonian-Laird,-0.00365711912149655,0.0458261933071919,0.936393045901059,Overall OA
"OA (overall, M13_ARTHROSIS)",Weighted median,-0.0359487771663426,0.0216494615795859,0.0968153357505513,Overall OA
"OA (overall, M13_ARTHROSIS)",MR-Egger slope,-0.0105432396395884,0.029497151177494,0.720768071562774,Overall OA
Knee OA (gonarthrosis),Fixed effect,-0.032085179597907,0.0238598301781971,0.178710409754076,Knee OA
Knee OA (gonarthrosis),Multiplicative random effects,-0.032085179597907,0.0282212353803691,0.255573320498435,Knee OA
Knee OA (gonarthrosis),DerSimonian-Laird,-0.015626085980631,0.0461592777176634,0.734967321543799,Knee OA
Knee OA (gonarthrosis),Weighted median,-0.0397870811076536,0.0258613188702464,0.123931679941718,Knee OA
Knee OA (gonarthrosis),MR-Egger slope,-0.0219606510828636,0.0359776801760758,0.541599167219358,Knee OA
Hip OA (coxarthrosis),Fixed effect,-0.00501764346680688,0.031693500440653,0.874206427336958,Hip OA
Hip OA (coxarthrosis),Multiplicative random effects,-0.00501764346680688,0.031693500440653,0.874206427336958,Hip OA
Hip OA (coxarthrosis),DerSimonian-Laird,-0.00501764346680688,0.031693500440653,0.874206427336958,Hip OA
Hip OA (coxarthrosis),Weighted median,-0.0234943078607034,0.0343033348408482,0.493407875423204,Hip OA
Hip OA (coxarthrosis),MR-Egger slope,0.0268436235752962,0.0186645772387885,0.1503738412753,Hip OA
