gene,logFC,P.Value,adj.P.Val,status,is_piezo
C2CD2,-1.5451193185,3.99903711472942e-13,6.44825032729166e-09,Lateral higher,FALSE
S100A4,1.7020680405,7.12820926245771e-13,6.44825032729166e-09,Medial higher,FALSE
MAPT,-2.2398475215,8.89332060586382e-13,6.44825032729166e-09,Lateral higher,FALSE
C20orf103,1.7831552968,9.05335131790208e-12,4.61596043736757e-08,Medial higher,FALSE
PPEF1,2.6175971588,1.06104276327868e-11,4.61596043736757e-08,Medial higher,FALSE
CTF1,-1.29282638435,1.42127750873694e-11,4.70273920094134e-08,Lateral higher,FALSE
GRB14,-1.6764502285,1.78830629604208e-11,4.70273920094134e-08,Lateral higher,FALSE
HOOK2,-1.44380569605,1.83642488573902e-11,4.70273920094134e-08,Lateral higher,FALSE
TNFSF11,2.559513792,1.94578212617102e-11,4.70273920094134e-08,Medial higher,FALSE
NPR3,-3.313996535,2.39971457956211e-11,5.0408649213349e-08,Lateral higher,FALSE
LOC152286,-2.0757483782,2.54916854241835e-11,5.0408649213349e-08,Lateral higher,FALSE
ITIH5,-2.8162907485,3.50741604132196e-11,6.0970090109776e-08,Lateral higher,FALSE
CA4,-2.821239758,3.75629334983867e-11,6.0970090109776e-08,Lateral higher,FALSE
RSPO3,-2.05344799085,3.92415070585171e-11,6.0970090109776e-08,Lateral higher,FALSE
LOC100130111,1.6390274998,4.63176042141277e-11,6.7166701791047e-08,Medial higher,FALSE
HOMER2,1.7520440368,6.32683973460757e-11,8.27722550073945e-08,Medial higher,FALSE
ANGPT2,1.29525960615,7.18180927388236e-11,8.27722550073945e-08,Medial higher,FALSE
IRS2,-1.9812942009,7.32555162198082e-11,8.27722550073945e-08,Lateral higher,FALSE
FIGN,-1.381463518,7.51071864124073e-11,8.27722550073945e-08,Lateral higher,FALSE
CYP4X1,-2.48955750605,7.84473770824754e-11,8.27722550073945e-08,Lateral higher,FALSE
GAB2,-1.029863598,7.99106912079479e-11,8.27722550073945e-08,Lateral higher,FALSE
ACADL,-2.68617123735,8.69024461697724e-11,8.59228185947677e-08,Lateral higher,FALSE
ADHFE1,-1.49037804575,9.22499936889305e-11,8.72444288139834e-08,Lateral higher,FALSE
EGFEM1P,-1.774759768,1.05202665096551e-10,9.5348682132507e-08,Lateral higher,FALSE
SNN,-1.25163817475,1.23628755632749e-10,1.06442722836578e-07,Lateral higher,FALSE
EEPD1,-1.45998733775,1.31258737233128e-10,1.06442722836578e-07,Lateral higher,FALSE
ANKRD40,-0.941160346,1.32557283039804e-10,1.06442722836578e-07,Lateral higher,FALSE
LRIG1,-1.74298378945,1.37017112882685e-10,1.06442722836578e-07,Lateral higher,FALSE
LOC728763,1.39033251755,1.55406116197008e-10,1.16565304810942e-07,Medial higher,FALSE
ALPK3,-1.5382510655,1.62311626744883e-10,1.17686750165156e-07,Lateral higher,FALSE
LINC00116,-1.99426157725,1.72432745579295e-10,1.2049199890436e-07,Lateral higher,FALSE
ALDH4A1,-1.37341862485,1.81138648538853e-10,1.2049199890436e-07,Lateral higher,FALSE
C3orf55,-1.62211847225,1.82958544005154e-10,1.2049199890436e-07,Lateral higher,FALSE
LHX2,2.1164948185,1.95973529524661e-10,1.2049199890436e-07,Medial higher,FALSE
PRRX2,1.5041976833,2.00160897518098e-10,1.2049199890436e-07,Medial higher,FALSE
RNF157,-1.68868668975,2.04522570018465e-10,1.2049199890436e-07,Lateral higher,FALSE
PLIN5,-2.101208737,2.04956048154712e-10,1.2049199890436e-07,Lateral higher,FALSE
ESYT1,-1.1063105796,2.10794694722464e-10,1.20663321042185e-07,Lateral higher,FALSE
