donor_id,compartment,expr
21,Lateral,0.3198843
9,Lateral,0.80574894
8,Lateral,0
7,Lateral,-0.12532616
6,Lateral,0.09155941
25,Lateral,0.08223343
24,Lateral,0.012653351
23,Lateral,0.3865137
22,Lateral,0.32490444
15,Lateral,0.59242344
14,Lateral,0.5282316
20,Lateral,-0.6540766
13,Lateral,0.36350536
19,Lateral,-0.17707062
18,Lateral,0.44765282
17,Lateral,0.064819336
16,Lateral,0.84349823
12,Lateral,-0.17369938
11,Lateral,0.30032158
10,Lateral,0.087973595
21,Medial,-1.204752
9,Medial,-0.22792435
8,Medial,-0.56256676
7,Medial,-0.616395
6,Medial,-0.5157957
25,Medial,-0.34420204
24,Medial,0.37308025
23,Medial,-0.9646578
22,Medial,-0.14371014
15,Medial,-0.19515514
14,Medial,-0.6628704
20,Medial,-1.0338411
13,Medial,0.8563566
19,Medial,-0.14261723
18,Medial,-0.14408493
17,Medial,-0.037195206
16,Medial,0.2689333
12,Medial,-0.2525053
11,Medial,0.09051895
10,Medial,-0.48942852
