patient,state,expr,z
OA1,EC,,
OA10,EC,0.2791,-0.021134057935225
OA2,EC,0.2292,-1.65411665750651
OA3,EC,0.3438,1.07710068282551
OA4,EC,0.4042,1.13806360840283
OA5,EC,0.2455,-0.301576456063135
OA6,EC,0.2068,-0.0328407386112777
OA7,EC,0.2071,-0.343368061692774
OA8,EC,0.3981,0.209225107495048
OA9,EC,0.3478,0.655212457919378
OA1,FC,1.1679,1.96272436342329
OA10,FC,,
OA2,FC,,
OA3,FC,0.1107,-0.6578215963404
OA4,FC,0.3816,0.886503369686428
OA5,FC,0.1076,-1.27878945719689
OA6,FC,0,-1.67783219929244
OA7,FC,0,-1.52574497151704
OA8,FC,,
OA9,FC,0.2611,-0.748913392049798
OA1,HTC,0.4277,-0.444780108870885
OA10,HTC,0,-1.88382318521564
OA2,HTC,0.4676,0.510216005224292
OA3,HTC,0,-1.48174221540375
OA4,HTC,0.1336,-1.87398066578557
OA5,HTC,0.2534,-0.245593985367293
OA6,HTC,0.4245,1.69885481743461
OA7,HTC,0.1368,-0.744725361357891
OA8,HTC,0.2818,-0.481395895390689
OA9,HTC,0.409,1.64636011672115
OA1,HomC,0.2984,-0.865329052761235
OA10,HomC,0.3994,0.781737679835589
OA2,HomC,0.5086,0.882437646046284
OA3,HomC,0.2412,0.313466938327775
OA4,HomC,0.2636,-0.426952743965571
OA5,HomC,0.2678,-0.143549988149555
OA6,HomC,0.1935,-0.138635643964563
OA7,HomC,0.2122,-0.314251102542104
OA8,HomC,0.2634,-0.590660095331338
OA9,HomC,0.305,-0.0379430943145403
OA1,ProC,0.5489,-0.0505764584493034
OA10,ProC,0.2833,0.00689637679991554
OA2,ProC,0.459,0.432140246417728
OA3,ProC,,
OA4,ProC,0.3147,0.141840539149828
OA5,ProC,0.1877,-0.71116972267322
OA6,ProC,0.2515,0.322725597425705
OA7,ProC,0.4497,1.04168572065086
OA8,ProC,0.2818,-0.481395895390689
OA9,ProC,0.2843,-0.373184214203375
OA1,RegC,0.5005,-0.207997718188615
OA10,RegC,0.4152,0.887185505743975
OA2,RegC,0.4808,0.630053216415762
OA3,RegC,0.1627,-0.270794747277219
OA4,RegC,0.3361,0.380043597049428
OA5,RegC,0.5078,1.55718329881274
OA6,RegC,0.1646,-0.368520814243507
OA7,RegC,0.4561,1.07822464978111
OA8,RegC,0.2617,-0.600755157282377
OA9,RegC,0.2185,-1.43882989964711
OA1,preHTC,0.4433,-0.394041025153256
OA10,preHTC,0.3166,0.229137680771388
OA2,preHTC,0.3232,-0.800730456597553
OA3,preHTC,0.3361,1.01979093786808
OA4,preHTC,0.2799,-0.245517704537372
OA5,preHTC,0.4466,1.12349631063735
OA6,preHTC,0.2356,0.196248981251476
OA7,preHTC,0.4088,0.808179126677839
OA8,preHTC,0.6904,1.94498193590004
OA9,preHTC,0.3257,0.297298025574294
